Code, Total Copy Numbers of 16S rRNA,16S rRNA Copies/1 ng DNA,16S rRNA Copies/mg sample weight,Treatment,Replicate,Individual
G1D,2.72E+08,1.09E+07,2.74E+07,Control,1,1
G1I,5.50E+08,1.39E+07,3.48E+07,Control,2,2
G1H ,2.14E+08,6.42E+06,1.61E+07,Control,3,3
G2A ,2.60E+07,1.93E+06,4.83E+06,Sterile,1,4
G2D,9.75E+07,9.46E+06,2.37E+07,Sterile,2,5
G2F,1.49E+08,9.24E+06,2.31E+07,Sterile,3,6
G3B,2.13E+08,7.58E+06,1.90E+07,2X Diluted,1,7
G3C,1.88E+08,5.46E+06,1.36E+07,2X Diluted,2,8
G3F ,1.84E+08,5.49E+06,1.37E+07,2X Diluted,3,9
G4F,4.86E+08,1.04E+07,2.60E+07,5X Diluted,1,10
G4H,6.90E+07,2.10E+06,5.24E+06,5X Diluted,2,11
G4J,1.26E+08,4.83E+06,1.21E+07,5X Diluted,3,12
