Code,Treatment,Day,Individual,Replicate,CH4 (nmol mg-1 d-1),Weight (g)
1A,Control,0,1,1,2410.61,3.143
1B,Control,0,2,2,485.97,3.215
1C,Control,0,3,3,192.21,3.442
1D,Control,0,4,4,5259.63,6.448
1E,Control,0,5,5,67.45,4.435
1F,Control,0,6,6,1631.69,5.795
1G,Control,0,7,7,4631.38,1.805
1H,Control,0,8,8,4216.21,1.733
1I,Control,0,9,9,3547.94,3.514
1J,Control,0,10,10,2473.92,3.57
2A,5mM-Na2BES,0,11,1,1849.79,3.386
2B,5mM-Na2BES,0,12,2,36.2,2.314
2C,5mM-Na2BES,0,13,3,2126.92,4.411
2D,5mM-Na2BES,0,14,4,-4.87,4.292
2E,5mM-Na2BES,0,15,5,2754.07,5.465
2F,5mM-Na2BES,0,16,6,2233.62,3.272
2G,5mM-Na2BES,0,17,7,45.74,6.025
2H,5mM-Na2BES,0,18,8,6444.55,3.044
2I,5mM-Na2BES,0,19,9,13.89,1.984
2J2,5mM-Na2BES,0,20,10,7939,1.686
3A,10mM-Na2BES,0,21,1,1561.53,6.282
3B,10mM-Na2BES,0,22,2,1841.48,2.834
3C,10mM-Na2BES,0,23,3,170.17,3.029
3D,10mM-Na2BES,0,24,4,1460.07,4.987
3E,10mM-Na2BES,0,25,5,0.18,1.878
3F2,10mM-Na2BES,0,26,6,2537.33,1.971
3G,10mM-Na2BES,0,27,7,1535.99,3.401
3H,10mM-Na2BES,0,28,8,-3.76,4.213
3I,10mM-Na2BES,0,29,9,25.18,2.03
3J,10mM-Na2BES,0,30,10,498.07,4.173
1A,Control,7,1,1,313.46,3.207
1B,Control,7,2,2,948.53,3.206
1C,Control,7,3,3,3.07,3.435
1D,Control,7,4,4,2365.04,6.29
1E,Control,7,5,5,1495.72,5.08
1F,Control,7,6,6,3701.06,5.794
1G,Control,7,7,7,3682.44,1.81
1H,Control,7,8,8,7.11,1.736
1I,Control,7,9,9,2558.19,3.554
1J,Control,7,10,10,1492.33,3.566
2A,5mM-Na2BES,7,11,1,468.68,3.54
2B,5mM-Na2BES,7,12,2,177.1,2.055
2C,5mM-Na2BES,7,13,3,122.18,4.99
2D,5mM-Na2BES,7,14,4,24.71,4.711
2E,5mM-Na2BES,7,15,5,344.43,6.58
2F,5mM-Na2BES,7,16,6,3626.09,3.377
2G,5mM-Na2BES,7,17,7,16.63,6.09
2H,5mM-Na2BES,7,18,8,52.91,3.068
2I,5mM-Na2BES,7,19,9,11.53,3.055
2J2,5mM-Na2BES,7,20,10,70.84,1.685
3A,10mM-Na2BES,7,21,1,54.5,6.326
3B,10mM-Na2BES,7,22,2,51.28,2.836
3C,10mM-Na2BES,7,23,3,62.46,2.986
3D,10mM-Na2BES,7,24,4,193.47,4.81
3E,10mM-Na2BES,7,25,5,7.92,2.603
3F2,10mM-Na2BES,7,26,6,12.91,2.037
3G,10mM-Na2BES,7,27,7,33.86,3.265
3H,10mM-Na2BES,7,28,8,1646.72,4.011
3I,10mM-Na2BES,7,29,9,42.71,2.231
3J,10mM-Na2BES,7,30,10,3690.44,4.221
1A,Control,14,1,1,113.07,3.204
1B,Control,14,2,2,290.24,3.166
1C,Control,14,3,3,4.66,3.331
1D,Control,14,4,4,2372.13,6.183
1E,Control,14,5,5,1626.21,5.076
1F,Control,14,6,6,2648.05,5.907
1G,Control,14,7,7,2117.86,1.744
1H,Control,14,8,8,32.53,1.66
1I,Control,14,9,9,1318.98,3.579
1J,Control,14,10,10,2214.38,3.44
2A,5mM-Na2BES,14,11,1,6.4,3.421
2B,5mM-Na2BES,14,12,2,NA,NA
2C,5mM-Na2BES,14,13,3,124.31,5.016
2D,5mM-Na2BES,14,14,4,29.36,6.136
2E,5mM-Na2BES,14,15,5,80.33,6.439
2F,5mM-Na2BES,14,16,6,216.47,3.3
2G,5mM-Na2BES,14,17,7,31.73,6.028
2H,5mM-Na2BES,14,18,8,-20.38,3.102
2I,5mM-Na2BES,14,19,9,-3.17,3.127
