Code,Weight (g),Treatment,Replicate,Date,Day,Individual
1A,0.077,Control,1,11/11/2019,0,1
1B,0.098,Control,2,11/11/2019,0,2
1C,0.064,Control,3,11/11/2019,0,3
1D,0.114,Control,4,11/11/2019,0,4
1E,0.07,Control,5,11/11/2019,0,5
1F,0.106,Control,6,11/11/2019,0,6
1G,0.131,Control,7,11/11/2019,0,7
1H,0.117,Control,8,11/11/2019,0,8
1I,0.118,Control,9,11/11/2019,0,9
1J,0.124,Control,10,11/11/2019,0,10
2A,0.04,Sterile,1,11/11/2019,0,11
2B,0.052,Sterile,2,11/11/2019,0,12
2C,0.103,Sterile,3,11/11/2019,0,13
2D,0.086,Sterile,4,11/11/2019,0,14
2E,0.17,Sterile,5,11/11/2019,0,15
2F,0.101,Sterile,6,11/11/2019,0,16
2G,0.162,Sterile,7,11/11/2019,0,17
2H,0.116,Sterile,8,11/11/2019,0,18
2I,0.102,Sterile,9,11/11/2019,0,19
2J,0.119,Sterile,10,11/11/2019,0,20
3A,0.103,2X diluted,1,11/11/2019,0,21
3B,0.099,2X diluted,2,11/11/2019,0,22
3C,0.077,2X diluted,3,11/11/2019,0,23
3D,0.097,2X diluted,4,11/11/2019,0,24
3E,0.093,2X diluted,5,11/11/2019,0,25
3F,0.095,2X diluted,6,11/11/2019,0,26
3G,0.133,2X diluted,7,11/11/2019,0,27
3H,0.108,2X diluted,8,11/11/2019,0,28
3I,0.159,2X diluted,9,11/11/2019,0,29
3J,0.181,2X diluted,10,11/11/2019,0,30
4A,0.08,5X diluted,1,11/11/2019,0,31
4B,0.093,5X diluted,2,11/11/2019,0,32
4C,0.061,5X diluted,3,11/11/2019,0,33
4D,0.116,5X diluted,4,11/11/2019,0,34
4E,0.099,5X diluted,5,11/11/2019,0,35
4F,0.163,5X diluted,6,11/11/2019,0,36
4G,0.131,5X diluted,7,11/11/2019,0,37
4H,0.13,5X diluted,8,11/11/2019,0,38
4I,0.135,5X diluted,9,11/11/2019,0,39
4J,0.149,5X diluted,10,11/11/2019,0,40
1A,0.08,Control,1,18/11/19,7,1
1B,0.11,Control,2,18/11/19,7,2
1C,0.069,Control,3,18/11/19,7,3
1D,0.123,Control,4,18/11/19,7,4
1E,0.08,Control,5,18/11/19,7,5
1F,0.105,Control,6,18/11/19,7,6
1G,0.129,Control,7,18/11/19,7,7
1H,0.127,Control,8,18/11/19,7,8
1I,0.138,Control,9,18/11/19,7,9
1J,0.126,Control,10,18/11/19,7,10
2A,0.039,Sterile,1,18/11/19,7,11
2B,0.05,Sterile,2,18/11/19,7,12
2C,0.106,Sterile,3,18/11/19,7,13
2D,0.088,Sterile,4,18/11/19,7,14
2E,0.156,Sterile,5,18/11/19,7,15
2F,0.1,Sterile,6,18/11/19,7,16
2G,0.159,Sterile,7,18/11/19,7,17
2H,0.112,Sterile,8,18/11/19,7,18
2I,0.112,Sterile,9,18/11/19,7,19
2J,0.113,Sterile,10,18/11/19,7,20
3A,0.107,2X diluted,1,18/11/19,7,21
3B,0.113,2X diluted,2,18/11/19,7,22
3C,0.081,2X diluted,3,18/11/19,7,23
3D,0.104,2X diluted,4,18/11/19,7,24
3E,0.091,2X diluted,5,18/11/19,7,25
3F,0.091,2X diluted,6,18/11/19,7,26
3G,0.121,2X diluted,7,18/11/19,7,27
3H,0.111,2X diluted,8,18/11/19,7,28
3I,0.128,2X diluted,9,18/11/19,7,29
3J,0.161,2X diluted,10,18/11/19,7,30
4A,0.085,5X diluted,1,18/11/19,7,31
4B,0.097,5X diluted,2,18/11/19,7,32
4C,0.059,5X diluted,3,18/11/19,7,33
4D,0.123,5X diluted,4,18/11/19,7,34
4E,0.093,5X diluted,5,18/11/19,7,35
4F,0.171,5X diluted,6,18/11/19,7,36
4G,0.118,5X diluted,7,18/11/19,7,37
4H,0.127,5X diluted,8,18/11/19,7,38
4I,0.137,5X diluted,9,18/11/19,7,39
4J,0.149,5X diluted,10,18/11/19,7,40
1A,0.08,Control,1,25/11/19,14,1
1B,0.11,Control,2,25/11/20,14,2
1C,0.069,Control,3,25/11/21,14,3
1D,0.123,Control,4,25/11/22,14,4
1E,0.08,Control,5,25/11/23,14,5
1F,0.105,Control,6,25/11/24,14,6
1G,0.129,Control,7,25/11/25,14,7
1H,0.127,Control,8,25/11/26,14,8
1I,0.138,Control,9,25/11/27,14,9
1J,0.126,Control,10,25/11/28,14,10
2A,0.039,Sterile,1,25/11/29,14,11
2B,0.05,Sterile,2,25/11/30,14,12
2C,0.106,Sterile,3,25/11/31,14,13
2D,0.088,Sterile,4,25/11/32,14,14
2E,0.156,Sterile,5,25/11/33,14,15
2F,0.1,Sterile,6,25/11/34,14,16
2G,0.159,Sterile,7,25/11/35,14,17
2H,0.112,Sterile,8,25/11/36,14,18
2I,0.112,Sterile,9,25/11/37,14,19
2J,0.113,Sterile,10,25/11/38,14,20
3A,0.107,2X diluted,1,25/11/39,14,21
3B,0.113,2X diluted,2,25/11/40,14,22
3C,0.081,2X diluted,3,25/11/41,14,23
3D,0.104,2X diluted,4,25/11/42,14,24
3E,0.091,2X diluted,5,25/11/43,14,25
3F,0.091,2X diluted,6,25/11/44,14,26
3G,0.121,2X diluted,7,25/11/45,14,27
3H,0.111,2X diluted,8,25/11/46,14,28
3I,0.128,2X diluted,9,25/11/47,14,29
3J,0.161,2X diluted,10,25/11/48,14,30
4A,0.085,5X diluted,1,25/11/49,14,31
4B,0.097,5X diluted,2,25/11/50,14,32
4C,0.059,5X diluted,3,25/11/51,14,33
4D,0.123,5X diluted,4,25/11/52,14,34
4E,0.093,5X diluted,5,25/11/53,14,35
4F,0.171,5X diluted,6,25/11/54,14,36
4G,0.118,5X diluted,7,25/11/55,14,37
4H,0.127,5X diluted,8,25/11/56,14,38
4I,0.137,5X diluted,9,25/11/57,14,39
4J,0.149,5X diluted,10,25/11/58,14,40
1A,0.072,Control,1,2/12/2019,21,1
1B,0.11,Control,2,2/12/2019,21,2
1C,0.069,Control,3,2/12/2019,21,3
1D,0.124,Control,4,2/12/2019,21,4
1E,0.081,Control,5,2/12/2019,21,5
1F,0.102,Control,6,2/12/2019,21,6
1G,0.126,Control,7,2/12/2019,21,7
1H,0.124,Control,8,2/12/2019,21,8
1I,0.133,Control,9,2/12/2019,21,9
1J,0.124,Control,10,2/12/2019,21,10
2A,0.038,Sterile,1,2/12/2019,21,11
2B,0.048,Sterile,2,2/12/2019,21,12
2C,0.111,Sterile,3,2/12/2019,21,13
2D,0.087,Sterile,4,2/12/2019,21,14
2E,0.146,Sterile,5,2/12/2019,21,15
2F,0.099,Sterile,6,2/12/2019,21,16
2G,0.16,Sterile,7,2/12/2019,21,17
2H,0.113,Sterile,8,2/12/2019,21,18
