Code,No. of colonies per pellet,Treatment,Replicate,Date,Day,Individual,Number of Faeces,Total colonies
1A,20260,Control,1,12/11/19,2,1,1,20260
1B,23380,Control,2,12/11/19,2,2,3,70140
1C,21740,Control,3,12/11/19,2,3,6,130440
1D,20960,Control,4,12/11/19,2,4,3,62880
1E,18850,Control,5,12/11/19,2,5,2,37700
1F,19270,Control,6,12/11/19,2,6,1,19270
1G,16860,Control,7,12/11/19,2,7,2,33720
1H,17210,Control,8,12/11/19,2,8,1,17210
1I,18810,Control,9,12/11/19,2,9,7,131670
1J,18240,Control,10,12/11/19,2,10,5,91200
2A,24420,Sterile,1,12/11/19,2,11,3,73260
2B,18570,Sterile,2,12/11/19,2,12,2,37140
2C,21320,Sterile,3,12/11/19,2,13,4,85280
2D,22750,Sterile,4,12/11/19,2,14,3,68250
2E,20510,Sterile,5,12/11/19,2,15,2,41020
2F,17430,Sterile,6,12/11/19,2,16,6,104580
2G,21360,Sterile,7,12/11/19,2,17,1,21360
2H,15770,Sterile,8,12/11/19,2,18,3,47310
2I,16030,Sterile,9,12/11/19,2,19,3,48090
2J,22420,Sterile,10,12/11/19,2,20,3,67260
3A,16650,2X Diluted,1,12/11/19,2,21,1,16650
3B,18120,2X Diluted,2,12/11/19,2,22,1,18120
3C,17920,2X Diluted,3,12/11/19,2,23,3,53760
3D,16280,2X Diluted,4,12/11/19,2,24,1,16280
3E,17680,2X Diluted,5,12/11/19,2,25,4,70720
3F,17970,2X Diluted,6,12/11/19,2,26,3,53910
3G,23940,2X Diluted,7,12/11/19,2,27,5,119700
3H,9530,2X Diluted,8,12/11/19,2,28,3,28590
3I,24380,2X Diluted,9,12/11/19,2,29,6,146280
3J,23780,2X Diluted,10,12/11/19,2,30,1,23780
4A,26490,5X Diluted,1,12/11/19,2,31,3,79470
4B,22710,5X Diluted,2,12/11/19,2,32,1,22710
4C,15730,5X Diluted,3,12/11/19,2,33,5,78650
4D,16570,5X Diluted,4,12/11/19,2,34,6,99420
4E,19540,5X Diluted,5,12/11/19,2,35,3,58620
4F,20210,5X Diluted,6,12/11/19,2,36,1,20210
