Code, Total Copy Numbers of 16S rRNA,16S rRNA Copies/1 ng DNA,16S rRNA Copies/mg sample weight,Treatment,Replicate,Individual,Total faeces,Total 16S rRNA Copies
G1D,272000000,10900000,27400000,Control,1,1,70,19040000000
G1I,550000000,13900000,34800000,Control,2,2,96,52800000000
G1H ,214000000,6420000,16100000,Control,3,3,96,20544000000
G2A ,26000000,1930000,4830000,Sterile,1,4,111,2886000000
G2D,97500000,9460000,23700000,Sterile,2,5,29,2827500000
G2F,149000000,9240000,23100000,Sterile,3,6,19,2831000000
G3B,213000000,7580000,19000000,2X Diluted,1,7,8,1704000000
G3C,188000000,5460000,13600000,2X Diluted,2,8,9,1692000000
G3F ,184000000,5490000,13700000,2X Diluted,3,9,11,2024000000
G4F,486000000,10400000,26000000,5X Diluted,1,10,10,4860000000
G4H,69000000,2100000,5240000,5X Diluted,2,11,16,1104000000
G4J,126000000,4830000,12100000,5X Diluted,3,12,13,1638000000
