ASV,Hg-E1C_S90,Hg-E1G_S91,Hg-E1H_S92,Hg-E2A_S93,Hg-E2D_S94,Hg-E2H_S95,MC1_S96,Hg-E3D_S97,Hg-E3E_S98,Hg-E3J_S99,Hg-E4B1_S100,Hg-E4B2_S101,Hg-E4C_S102,BC1_S103,Hg-G1D_S104,Hg-G1H_S105,Hg-G1i_S106,Hg-G2B_S107,Hg-G2D_S108,Hg-G2F_S109,NC1_S110,Hg-G3B_S111,Hg-G3C_S112,Hg-G3F_S113,Hg-G4F_S114,Hg-G4H_S115,Hg-G4J_S116,Fp-E1G_S117,Fp-E1H_S118,Fp-E1J_S119,Fp-E2A_S120,Fp-E2D_S121,Fp-E2H_S122,MC2_S123,Fp-E3B_S124,Fp-E3E_S125,Fp-E3J_S126,Fp-E4C_S127,Fp-E4B_S128,Fp-E4E_S129,BC2_S130,Fp-G1D_S131,Fp-G1H_S132,Fp-G1I_S133,Fp-G2B_S134,Fp-G2D_S135,Fp-G2F_S136,NC2_S137,Fp-G3B_S138,Fp-G3F_S139,Fp-G3G_S140,Fp-G4F_S141,Fp-G4H_S142,Fp-G4J_S143
Seq_1,0,5,691,6665,7700,7593,36172,0,0,0,60,1122,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq_2,0,0,77,209,623,592,3286,0,0,0,0,2,0,6823,4,4,29,2,475,2126,18525,14806,153,2866,13291,34102,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,14,41,86,105,0,33,55,781,494,18,8
Seq_3,293,148,1629,2103,2134,2286,0,5392,3026,6134,4720,16666,2860,0,4246,1460,6941,692,0,16,7,10,87,0,0,5,80,26,87,83,564,992,469,0,1736,641,5939,4633,19718,24,0,0,0,0,31,34,0,0,0,0,0,13,0,0
Seq_4,356,46,1290,1003,880,920,10,487,270,297,267,63,27,5,1754,736,529,5258,2392,1493,24,313,4419,988,634,19,285,40,73,200,1696,2300,608,0,1427,115,0,117,71,683,119,91,809,715,806,1313,616,157,575,1120,213,761,1443,1434
Seq_5,2936,707,3554,1878,1764,1642,0,3430,1062,643,7067,1073,208,3,104,2527,36,0,0,0,6,27,52,0,8,20,138,1,5,297,2722,4416,558,0,1727,1059,0,4,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq_6,1,0,51,282,325,414,0,11,944,2851,622,9,616,23,1868,146,27,2744,183,8152,17,46,2797,109,3516,7,1562,64,197,158,1152,633,2061,0,141,1188,164,217,207,658,0,0,0,0,0,23,0,0,1,0,0,6,0,0
Seq_7,0,0,157,930,686,769,0,0,0,0,0,0,0,0,3550,0,1165,0,10641,5769,16,882,93,5825,2576,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,299,3,0,0,20,3,24,1,1
Seq_8,0,57,157,608,255,315,0,2,2099,39,33,5,910,0,286,826,1509,2290,9180,2068,6,1097,1755,6994,681,5,112,0,1,0,0,2,8,0,0,98,0,0,0,0,0,0,1,0,0,60,0,0,0,0,0,0,0,0
Seq_9,273,1452,190,1538,1887,1821,0,6147,1733,1679,1076,5686,2080,0,873,389,1338,681,2,0,0,3,5,0,5,2,11,0,2,0,55,97,8,0,106,152,0,55,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq_10,0,0,0,14,10,19,93,5,118,71,5,0,50,59,64,14,2995,3252,10,6852,966,2245,2949,9,3987,215,763,12,6,45,227,78,308,0,46,880,14,565,25,58,0,23,113,365,14,39,90,0,69,200,104,111,82,66
