Code,Weight (g),Treatment,Replicate,Date ,Day,Individual,Status
1A,5.023,Control,1,05/11/2019,0,1,0
1B,6.788,Control,2,05/11/2019,0,2,0
1C,5.75,Control,3,05/11/2019,0,3,0
1D,5.982,Control,4,05/11/2019,0,4,0
1E,5.542,Control,5,05/11/2019,0,5,0
1F,3.541,Control,6,05/11/2019,0,6,0
1G,4.707,Control,7,05/11/2019,0,7,0
1H,3.247,Control,8,05/11/2019,0,8,0
1I,3.852,Control,9,05/11/2019,0,9,0
1J,3.813,Control,10,05/11/2019,0,10,0
2A,5.517,Sterile,1,05/11/2019,0,11,0
2B,5.47,Sterile,2,05/11/2019,0,12,0
2C,5.156,Sterile,3,05/11/2019,0,13,0
2D,5.539,Sterile,4,05/11/2019,0,14,0
2E,5.205,Sterile,5,05/11/2019,0,15,0
2F,3.182,Sterile,6,05/11/2019,0,16,0
2G,3.022,Sterile,7,05/11/2019,0,17,0
2H,3.208,Sterile,8,05/11/2019,0,18,0
2I,2.728,Sterile,9,05/11/2019,0,19,0
2J,3.217,Sterile,10,05/11/2019,0,20,0
3A,4.711,Undiluted,1,05/11/2019,0,21,0
3B,5.671,Undiluted,2,05/11/2019,0,22,0
3C,5.958,Undiluted,3,05/11/2019,0,23,0
3D,5.227,Undiluted,4,05/11/2019,0,24,0
3E,5.508,Undiluted,5,05/11/2019,0,25,0
3F,1.694,Undiluted,6,05/11/2019,0,26,0
3G,2.872,Undiluted,7,05/11/2019,0,27,0
3H,3.429,Undiluted,8,05/11/2019,0,28,0
3I,3.511,Undiluted,9,05/11/2019,0,29,0
3J,3.903,Undiluted,10,05/11/2019,0,30,0
4A,5.221,2X Diluted,1,05/11/2019,0,31,0
4B,4.427,2X Diluted,2,05/11/2019,0,32,0
4C,5.142,2X Diluted,3,05/11/2019,0,33,0
4D,4.817,2X Diluted,4,05/11/2019,0,34,0
4E,4.89,2X Diluted,5,05/11/2019,0,35,0
4F,3.672,2X Diluted,6,05/11/2019,0,36,0
4G,2.185,2X Diluted,7,05/11/2019,0,37,0
4H,5.121,2X Diluted,8,05/11/2019,0,38,0
4I,4.532,2X Diluted,9,05/11/2019,0,39,0
4J,4.175,2X Diluted,10,05/11/2019,0,40,0
1A,5.389,Control,1,12/11/2019,7,1,0
1B,6.833,Control,2,12/11/2020,7,2,0
1C,6.11,Control,3,12/11/2021,7,3,0
1D,6.23,Control,4,12/11/2022,7,4,0
1E,5.668,Control,5,12/11/2023,7,5,0
1F,3.765,Control,6,12/11/2024,7,6,0
1G,4.73,Control,7,12/11/2025,7,7,0
1H,3.244,Control,8,12/11/2026,7,8,0
1I,3.931,Control,9,12/11/2027,7,9,0
1J,4.097,Control,10,12/11/2028,7,10,0
2A,5.179,Sterile,1,12/11/2029,7,11,0
2B,5.444,Sterile,2,12/11/1930,7,12,0
2C,4.671,Sterile,3,12/11/1931,7,13,0
