ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Azonexus_denitrificans(RS_GCF_001551835_1)	100	100	100	100	100	100	96
Seq_2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	100	5	3
Seq_3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	Buttiauxella_gaviniae(RS_GCF_001654835_1)	100	100	100	100	100	63	63
Seq_4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	NA	100	100	100	100	100	100	5
Seq_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	Magnetospirillum_moscoviense(RS_GCF_001650635_1)	100	100	100	92	92	84	84
Seq_6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	Thauera_propionica(RS_GCF_002245655_1)	100	100	100	100	99	76	51
Seq_7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	90	90	90	90	90	29
Seq_8	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas_alginatilytica(RS_GCF_003201355_1)	100	100	100	100	100	100	100
Seq_9	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	96	96	82	53	12	2
Seq_10	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	98	97	51	22	22	14
Seq_11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	30
Seq_12	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	100	100	95	69	69	66
Seq_13	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	NA	99	79	78	65	63	30	18
Seq_14	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Azobacteroidaceae	Symbiothrix	Symbiothrix_dinenymphae(GB_GCA_001417715_1)	100	100	99	99	63	63	63
Seq_15	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	NA	100	99	99	90	77	77	36
Seq_16	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	86	29	28	28
Seq_17	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	NA	NA	100	100	100	96	87	42	42
Seq_18	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella_A	Moraxella_A_osloensis_A(RS_GCF_005518075_1)	100	100	100	100	100	100	100
Seq_19	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	NA	NA	100	100	100	100	94	42	32
