ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	NA	100	100	100	100	100	100	100
Seq_2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA	100	100	100	100	100	58	31
Seq_3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	99	90	48	30
Seq_4	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	salmonicida	100	100	100	100	100	100	89
Seq_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	NA	100	100	99	94	94	53	41
Seq_6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	NA	100	100	100	100	99	55	38
Seq_7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	acidifaciens	100	100	100	100	100	100	56
Seq_8	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	alginatilytica	100	100	100	100	100	98	71
Seq_9	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	100	100	100	100	74	58	58
Seq_10	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rs-E47 termite group	NA	NA	100	100	100	86	85	85	85
Seq_11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	87
Seq_12	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	98	98	92	89	72	72
Seq_13	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	NA	100	96	93	68	62	31	5
Seq_14	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	100	100	88	88
Seq_15	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	M2PB4-61 termite group	NA	100	100	100	99	99	96	96
Seq_16	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	NA	100	100	100	97	94	94	94
Seq_17	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	100	100	100	99	98	98	94
Seq_18	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	osloensis	100	100	100	100	100	100	100
Seq_19	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	NA	NA	100	100	100	100	99	99	99
Seq_20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium	NA	100	100	100	100	100	98	98
Seq_21	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	cuneatus	100	100	100	100	100	100	86
Seq_22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium	NA	100	100	100	100	100	55	55
Seq_23	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	NA	100	100	100	96	89	89	89
Seq_24	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	100	100	100	98	98	95	94
Seq_25	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	COB P4-1 termite group	NA	NA	100	100	100	100	100	100	100
Seq_26	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	76
Seq_27	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	planticola	100	100	100	100	93	72	69
Seq_28	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA	100	100	100	100	100	73	51
Seq_29	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	insolitus	100	100	100	100	100	82	55
Seq_30	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	T2WK15B57	NA	100	98	97	97	97	61	61
Seq_31	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	cichorii	100	100	100	100	100	100	83
Seq_32	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	dublinensis	100	100	100	100	69	51	50
Seq_33	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Vitreoscilla	NA	100	100	100	100	100	99	99
Seq_34	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA	100	100	100	87	34	13	8
Seq_35	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	100	96	92	88	19
Seq_36	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	45	45
Seq_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	100	100	100	100	100	79	69
Seq_38	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	100	100	100	100	97	97	97
Seq_39	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	98	94	93	74	74
Seq_40	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	NA	100	100	100	100	99	99	99
Seq_41	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	borealis	100	100	100	100	100	100	91
Seq_42	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA	100	100	100	97	43	43	43
Seq_43	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	aminovorans	100	100	100	100	100	100	80
Seq_44	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovastum	NA	100	100	100	100	100	53	53
Seq_45	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	NA	100	100	100	100	100	98	98
Seq_46	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caecicola	98	93	93	92	79	79	71
Seq_47	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	98	98	98	98	94	46
Seq_48	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA	100	100	100	100	100	88	39
Seq_49	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	100	100	100	97	97	97	94
Seq_50	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	citronellolis	100	100	100	100	100	100	94
Seq_51	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	finegoldii	100	100	100	100	100	100	73
Seq_52	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	luti	100	100	100	100	86	86	64
Seq_53	Bacteria	Rs-K70 termite group	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_54	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA	100	100	100	100	100	87	37
Seq_55	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	brasilense	100	100	100	100	100	100	66
Seq_56	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	100	45	44	42
Seq_57	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	monocytogenes	100	100	100	100	100	100	100
Seq_58	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	100	100	100	100	100	100	74
Seq_59	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	100	100	100	100	29	26
Seq_60	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	NA	100	99	99	99	99	89	38
Seq_61	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	83	75	12	12
Seq_62	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	48
Seq_63	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA	100	100	99	74	24	5	2
Seq_64	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	freundii	100	100	100	100	100	65	65
Seq_65	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	NA	NA	100	100	100	100	100	100	100
Seq_66	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum	NA	100	100	100	100	84	64	62
Seq_67	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	hinzii	100	100	100	100	100	78	65
Seq_68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	NA	100	100	100	99	98	73	39
Seq_69	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	100	97	96	85	38	38
Seq_70	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	99	99	99	99	86	41
Seq_71	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_72	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	99	99	99	97	74	74
Seq_73	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CR-115	NA	NA	100	100	100	95	60	60	60
Seq_74	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	99	99	99	99
Seq_75	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	NA	NA	100	100	100	100	100	73	73
Seq_76	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Fretibacterium	NA	100	100	100	100	100	75	47
Seq_77	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	100	100	99	96	30	14
Seq_78	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	mosselii	100	100	100	100	100	100	61
Seq_79	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caecicola	98	90	90	87	76	76	70
Seq_80	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA	100	97	97	97	93	72	72
Seq_81	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	98	98	95	45	45	42
Seq_82	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	82
Seq_83	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	NA	100	100	100	100	100	100	63
Seq_84	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	NA	100	100	100	96	95	95	95
