ASV	ECN2_D21_13C_10	ECN2_D21_13C_11	ECN2_D21_13C_2	ECN2_D21_13C_3	ECN2_D21_13C_4	ECN2_D21_13C_5	ECN2_D21_13C_6	ECN2_D21_13C_7	ECN2_D21_13C_8	ECN2_D21_13C_9	EP_CON_D14_10	EP_CON_D14_11	EP_CON_D14_2	EP_CON_D14_3	EP_CON_D14_4	EP_CON_D14_5	EP_CON_D14_6	EP_CON_D14_7	EP_CON_D14_8	EP_CON_D14_9	EP_CON_D3_10	EP_CON_D3_11	EP_CON_D3_2	EP_CON_D3_3	EP_CON_D3_4	EP_CON_D3_5	EP_CON_D3_6	EP_CON_D3_7	EP_CON_D3_8	EP_CON_D3_9	EP_CON_D7_10	EP_CON_D7_11	EP_CON_D7_2	EP_CON_D7_3	EP_CON_D7_4	EP_CON_D7_5	EP_CON_D7_6	EP_CON_D7_7	EP_CON_D7_8	EP_CON_D7_9	EP_D14_A_10	EP_D14_A_11	EP_D14_A_2	EP_D14_A_3	EP_D14_A_4	EP_D14_A_5	EP_D14_A_6	EP_D14_A_7	EP_D14_A_8	EP_D14_A_9	EP_D14_B_10	EP_D14_B_11	EP_D14_B_2	EP_D14_B_3	EP_D14_B_4	EP_D14_B_5	EP_D14_B_6	EP_D14_B_7	EP_D14_B_8	EP_D14_B_9	EP_D14_C_1	EP_D14_C_10	EP_D14_C_2	EP_D14_C_3	EP_D14_C_4	EP_D14_C_5	EP_D14_C_6	EP_D14_C_7	EP_D14_C_8	EP_D14_C_9	EP_D21_13C_A_10	EP_D21_13C_A_11	EP_D21_13C_A_2	EP_D21_13C_A_3	EP_D21_13C_A_4	EP_D21_13C_A_5	EP_D21_13C_A_6	EP_D21_13C_A_7	EP_D21_13C_A_8	EP_D21_13C_A_9	EP_D21_13C_B_10	EP_D21_13C_B_11	EP_D21_13C_B_2	EP_D21_13C_B_3	EP_D21_13C_B_4	EP_D21_13C_B_5	EP_D21_13C_B_6	EP_D21_13C_B_7	EP_D21_13C_B_9	EP_D21_13C_C_10	EP_D21_13C_C_11	EP_D21_13C_C_2	EP_D21_13C_C_3	EP_D21_13C_C_4	EP_D21_13C_C_5	EP_D21_13C_C_6	EP_D21_13C_C_7	EP_D21_13C_C_8	EP_D21_13C_C_9	EP_D3_A_10	EP_D3_A_11	EP_D3_A_2	EP_D3_A_3	EP_D3_A_4	EP_D3_A_5	EP_D3_A_6	EP_D3_A_7	EP_D3_A_8	EP_D3_A_9	EP_D3_B_10	EP_D3_B_11	EP_D3_B_2	EP_D3_B_3	EP_D3_B_4	EP_D3_B_5	EP_D3_B_6	EP_D3_B_7	EP_D3_B_8	EP_D3_B_9	EP_D3_C_10	EP_D3_C_11	EP_D3_C_2	EP_D3_C_3	EP_D3_C_4	EP_D3_C_5	EP_D3_C_6	EP_D3_C_7	EP_D3_C_8	EP_D3_C_9	EP_D7_A_10	EP_D7_A_11	EP_D7_A_2	EP_D7_A_3	EP_D7_A_4	EP_D7_A_5	EP_D7_A_6	EP_D7_A_7	EP_D7_A_8	EP_D7_A_9	EP_D7_B_10	EP_D7_B_11	EP_D7_B_2	EP_D7_B_3	EP_D7_B_4	EP_D7_B_5	EP_D7_B_6	EP_D7_B_7	EP_D7_B_8	EP_D7_B_9	EP_D7_C_10	EP_D7_C_11	EP_D7_C_2	EP_D7_C_3	EP_D7_C_4	EP_D7_C_5	EP_D7_C_6	EP_D7_C_7	EP_D7_C_8	EP_D7_C_9	GC_CON_D14_10	GC_CON_D14_11	GC_CON_D14_2	GC_CON_D14_3	GC_CON_D14_4	GC_CON_D14_5	GC_CON_D14_6	GC_CON_D14_7	GC_CON_D14_8	GC_CON_D14_9	GC_CON_D3_10	GC_CON_D3_11	GC_CON_D3_2	GC_CON_D3_3	GC_CON_D3_4	GC_CON_D3_5	GC_CON_D3_6	GC_CON_D3_7	GC_CON_D3_8	GC_CON_D3_9	GC_CON_D7_1	GC_CON_D7_10	GC_CON_D7_2	GC_CON_D7_3	GC_CON_D7_4	GC_CON_D7_5	GC_CON_D7_6	GC_CON_D7_7	GC_CON_D7_8	GC_CON_D7_9	GC_D14_A_10	GC_D14_A_11	GC_D14_A_2	GC_D14_A_3	GC_D14_A_4	GC_D14_A_5	GC_D14_A_6	GC_D14_A_7	GC_D14_A_8	GC_D14_A_9	GC_D14_B_10	GC_D14_B_11	GC_D14_B_2	GC_D14_B_3	GC_D14_B_4	GC_D14_B_5	GC_D14_B_6	GC_D14_B_7	GC_D14_B_8	GC_D14_B_9	GC_D14_C_10	GC_D14_C_11	GC_D14_C_2	GC_D14_C_3	GC_D14_C_4	GC_D14_C_5	GC_D14_C_6	GC_D14_C_7	GC_D14_C_8	GC_D14_C_9	GC_D21_13C_A_10	GC_D21_13C_A_11	GC_D21_13C_A_2	GC_D21_13C_A_3	GC_D21_13C_A_4	GC_D21_13C_A_5	GC_D21_13C_A_6	GC_D21_13C_A_7	GC_D21_13C_A_8	GC_D21_13C_A_9	GC_D21_13C_B_10	GC_D21_13C_B_11	GC_D21_13C_B_2	GC_D21_13C_B_3	GC_D21_13C_B_4	GC_D21_13C_B_5	GC_D21_13C_B_6	GC_D21_13C_B_7	GC_D21_13C_B_8	GC_D21_13C_B_9	GC_D21_13C_C_10	GC_D21_13C_C_11	GC_D21_13C_C_2	GC_D21_13C_C_3	GC_D21_13C_C_4	GC_D21_13C_C_5	GC_D21_13C_C_6	GC_D21_13C_C_7	GC_D21_13C_C_8	GC_D21_13C_C_9	GC_D3_A_10	GC_D3_A_11	GC_D3_A_2	GC_D3_A_3	GC_D3_A_4	GC_D3_A_5	GC_D3_A_6	GC_D3_A_7	GC_D3_A_8	GC_D3_A_9	GC_D3_B_10	GC_D3_B_11	GC_D3_B_2	GC_D3_B_3	GC_D3_B_4	GC_D3_B_5	GC_D3_B_6	GC_D3_B_7	GC_D3_B_8	GC_D3_B_9	GC_D3_C_10	GC_D3_C_11	GC_D3_C_2	GC_D3_C_3	GC_D3_C_4	GC_D3_C_5	GC_D3_C_6	GC_D3_C_7	GC_D3_C_8	GC_D3_C_9	GC_D7_A_10	GC_D7_A_11	GC_D7_A_2	GC_D7_A_3	GC_D7_A_4	GC_D7_A_5	GC_D7_A_6	GC_D7_A_7	GC_D7_A_8	GC_D7_A_9	GC_D7_B_10	GC_D7_B_11	GC_D7_B_2	GC_D7_B_3	GC_D7_B_4	GC_D7_B_5	GC_D7_B_6	GC_D7_B_7	GC_D7_B_8	GC_D7_B_9	GC_D7_C_10	GC_D7_C_11	GC_D7_C_2	GC_D7_C_3	GC_D7_C_4	GC_D7_C_5	GC_D7_C_6	GC_D7_C_7	GC_D7_C_8	GC_D7_C_9	GCN_D21_13C_10	GCN_D21_13C_11	GCN_D21_13C_2	GCN_D21_13C_3	GCN_D21_13C_4	GCN_D21_13C_5	GCN_D21_13C_6	GCN_D21_13C_7	GCN_D21_13C_8	GCN_D21_13C_9
Seq_1	294	253	126	224	569	308	325	299	359	226	4822	4209	3673	4119	4121	7564	7862	8700	8860	7012	5053	6133	3968	3558	4385	4327	3911	8032	8939	7237	4218	3919	3016	971	3263	4804	7339	8461	6960	6459	4648	5771	964	1589	5398	6085	8171	9193	5110	8313	853	858	359	668	971	2092	3716	4778	2877	1236	86	2685	358	402	2132	4997	5654	7767	7073	4232	1290	1012	828	990	1745	1270	1217	1261	1190	1229	237	359	213	355	384	460	489	575	17	2	4	510	12	9	6	5	0	1	1652	2926	2876	1528	1109	902	2440	5429	4506	3902	4216	9488	8929	3598	1805	3987	15089	10821	19750	21322	15482	8857	9071	326	705	1289	8277	17982	14768	18082	11289	1485	1711	18	183	2398	4289	6435	8588	3942	3536	346	2099	64	103	520	1864	4388	6802	2930	3186	6801	7771	321	155	6821	6983	7165	13024	9461	8600	5	5	146	93	20	0	0	0	0	0	12	3	81	29	31	3	280	16	0	4	486	13	81	21	25	412	0	3	42	25	0	0	0	0	0	0	0	0	16	4	5	6	8	22	0	7	0	0	0	0	8	4	76	33	5	3	0	0	0	3	23	0	3	20	18	9	5	0	1	4	0	0	2	1	3	0	2	0	18	0	1753	1944	0	1843	1613	1514	1768	2224	2179	1960	704	9	31	14	13	8	0	9	0	2	0	20	46	23	16	9	4	1	0	0	5	19	22	18	27	2	0	3	3	0	7	17	4	29	10	12	10	6	5	8	0	8	20	7	11	0	5	8	5	3	7	21	4	6	31	16	0	8	16	8	0	1	32	2	0	5	2	0	0	0
Seq_2	91	69	54	59	90	64	75	102	81	71	2602	1885	2051	2074	1648	3181	4249	3520	5503	4545	2378	2820	1921	1293	1502	1547	1594	3402	4181	3092	2457	2351	2031	543	1634	2258	3459	4771	5451	5632	2515	2757	2548	3386	5778	3298	3272	2964	1474	3734	634	746	1022	2499	3257	2074	1318	465	370	544	99	985	1194	1433	3204	2412	1742	589	588	923	903	755	3621	1936	1542	898	354	265	577	722	511	917	945	1114	1057	861	925	818	31	479	474	312	618	442	627	577	742	705	134	1474	2080	1316	1233	1788	2071	3517	2065	2045	2807	743	683	7475	13821	9899	3932	919	1182	768	726	253	277	150	1833	1909	1424	692	417	247	190	1286	1313	1536	3238	5284	3170	2578	1152	671	1152	199	1002	1426	2850	1801	1369	2255	1066	520	999	1488	1835	2949	3011	3317	3415	1410	863	346	719	859	892	502	601	783	1248	1089	1674	1211	1034	1552	1727	1439	1054	581	1493	2642	1441	2045	1799	311	172	261	62	133	336	206	93	175	115	209	360	153	150	266	282	402	470	501	452	1092	1051	1240	739	1292	1645	1870	1599	1246	1103	992	396	240	1264	1227	736	589	516	196	131	809	866	469	1022	1178	1334	1183	779	875	733	724	964	1381	2289	2273	1396	826	401	386	388	221	258	645	629	267	169	87	55	74	140	944	1003	300	741	767	881	1096	1431	1136	796	595	885	139	234	308	566	710	785	787	716	4119	5696	1335	1314	2384	3552	4440	5358	6595	4713	9403	13243	6065	8449	8511	11890	17041	13256	17083	13044	792	822	552	566	435	413	1178	1232	1101	1211	11852	12959	393	2502	5491	12224	15988	16381	18585	16482	237	107	190	114	91	263	221	348	338	274
Seq_3	0	0	8	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1543	1274	0	590	852	1951	2100	2376	2285	2	0	0	0	0	0	8	0	0	0	0	22	0	13	25	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	2	0	6	3	0	3	0	0	0	7	0	0	0	0	0	2	0	0	0	7	3	0	0	0	2	0	406	377	183	281	370	557	488	774	503	437	4022	4707	1981	1969	1325	4429	6981	3768	5671	5130	10	25	11	0	23	37	33	20	34	16	750	1255	802	791	1028	885	1291	1554	1707	1382	8477	7842	8092	3502	6327	8490	11711	12086	11219	9813	799	759	93	328	409	611	913	1129	485	352	606	772	227	409	480	860	798	573	691	530	1232	1277	614	1402	2107	1838	1460	1070	1082	786	2	0	555	0	0	0	0	0	1	0	4374	8210	1510	4831	4606	6682	8235	11088	9835	6942	5994	9200	829	1634	2431	6041	7054	8255	7804	7502	6234	8921	1858	1888	3788	5689	7119	8068	10216	6967	3188	4300	1722	1604	1369	2742	5071	4399	6178	5185	3384	3438	2405	1857	1178	1597	4986	5491	4679	3845	610	698	18	118	241	692	961	927	1010	892	2212	1186	1112	1043	1087	2588	2857	4449	3860	2581
Seq_4	0	0	20	1	0	1	0	0	2	0	4	0	0	4	0	2	0	0	0	0	1	0	2	0	0	2	7	0	2	2	0	0	4	0	2	0	3	3	5	2	6	10	8	3	6	5	5	10	4	7	0	1	4	0	0	0	0	0	0	0	0	2	1	0	17	3	2	0	0	0	14	8	0	0	1	0	3	1	5	0	0	3	0	1	0	0	0	0	54	1641	1417	0	2638	1813	2310	1979	2250	2345	0	4	5	6	1	7	11	18	4	10	8	7	3	0	11	0	0	3	0	6	0	0	0	1	0	0	0	2	0	0	0	14	2	0	0	0	2	7	7	4	3	0	0	0	0	1	0	0	0	0	1	17	18	48	50	32	31	15	9	9	9	456	436	238	432	713	672	486	888	614	528	2257	2940	1103	1082	1054	3405	4382	2375	4123	3146	21	5	4	4	15	14	6	11	6	3	1310	2271	395	359	598	986	1846	2868	3607	3248	2885	2366	2801	2912	4965	4453	3873	3488	3276	3119	2259	2335	222	904	1368	1716	1858	2904	1402	1180	1336	1622	504	968	1267	1861	1496	1230	1548	1338	4311	3954	618	1232	2182	3182	3750	4684	5781	4135	4	0	2547	0	0	0	3	1	1	1	4215	8275	1569	4485	4481	6869	7242	9259	9224	6849	143	224	18	75	103	189	170	182	189	161	5240	7930	1534	1499	3506	4490	5510	6188	9363	6528	6310	8303	3800	3039	2727	8086	12765	9190	12639	10418	4206	4214	3231	2383	2455	2535	7473	6974	5944	4908	651	823	16	134	209	612	904	820	1289	1086	1463	601	686	557	630	1395	1604	2364	2259	1524
Seq_5	0	0	19	0	0	1	0	0	3	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1408	1257	0	356	919	2067	2700	2868	2601	0	0	0	0	22	0	9	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3889	3218	1309	1743	2089	4515	3264	6897	5086	4219	5767	7016	2574	3377	1508	6473	11880	6887	10737	7416	1173	10037	3511	2027	7593	10299	17757	16016	10359	7800	0	0	0	0	0	0	0	1	0	0	5	6	0	0	0	1	5	9	5	14	20	18	5	2	9	20	29	39	14	6	9441	11118	3218	5209	6407	9602	9861	11138	12750	10455	57	55	11	54	99	104	84	40	96	32	3	0	325	0	0	0	0	0	0	0	1434	2951	474	1431	1188	1956	2681	4475	3418	2388	234	327	20	62	115	201	242	367	299	262	0	0	0	1	0	0	0	0	1	0	10	20	5	2	3	0	21	24	26	25	136	104	59	50	35	55	170	252	150	147	0	2	0	0	5	0	0	0	0	0	4	0	101	4	0	6	11	17	12	12
Seq_6	0	0	5	0	0	0	0	0	0	0	299	237	312	285	283	535	926	632	702	520	0	0	0	0	3	0	0	0	0	0	1111	955	520	394	506	1666	1473	2064	1506	1214	27	25	4	6	30	33	34	41	31	39	46	44	2	21	33	147	225	268	171	75	0	3	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	42	47	63	414	267	125	73	36	32	188	47	69	13	8	17	40	100	63	53	62	33	20	7	79	11	27	32	28	30	30	2418	2164	80	172	332	2526	4391	4105	3857	2420	0	0	2	0	0	0	0	3	0	0	5	20	3	3	7	25	43	90	26	21	601	858	27	29	832	1046	1551	2907	1555	1640	8	9	5	8	9	6	9	16	11	5	478	539	234	367	179	568	1139	643	814	497	7	0	3	0	0	17	0	0	0	0	2286	3342	90	45	186	1002	3595	5609	5993	4761	2	5	6	5	11	9	9	7	7	8	11072	10764	949	1192	816	4046	10707	17242	6910	6475	1231	1657	523	952	1142	1559	1827	1781	1708	1186	0	0	1	0	1	0	2	3	12	0	210	237	314	265	213	191	249	249	222	199	2075	4996	839	2469	2165	3806	4777	7434	5598	3083	3346	5364	503	883	1588	3612	6935	6688	5595	4223	28	38	8	8	14	24	31	51	34	20	150	182	54	46	39	141	370	367	303	268	3720	4629	2439	1866	2437	2939	6634	9853	5695	3877	0	0	3	0	59	0	0	0	3	0	97	37	73	41	40	108	76	119	152	110
Seq_7	24	11	32	24	54	33	32	24	26	21	1242	764	864	935	844	1698	1994	1777	2809	2531	2497	3062	1668	1058	1724	1883	1838	4170	4595	3494	367	283	283	61	313	317	630	757	905	1037	1096	1301	1633	2382	3574	1350	1190	932	590	1510	978	979	5388	6744	5598	2948	1945	486	589	885	123	855	2177	2355	3007	2098	1226	450	458	741	612	482	2381	1375	1087	638	243	233	371	458	1734	3244	5761	5582	3765	3123	2752	2787	62	4	0	668	22	15	0	2	0	0	106	112	215	170	368	333	166	405	297	283	312	208	156	58	66	139	390	223	444	462	344	212	257	41	877	1268	1139	718	371	376	286	1298	1251	1243	4050	5725	3841	3149	1353	644	970	452	2308	7498	9073	4259	3547	6297	2303	1223	2297	2664	3531	5612	6550	6308	6553	2532	1442	756	851	0	0	6	13	18	0	0	0	0	0	7	0	19	6	10	0	107	11	0	4	30	0	12	5	3	155	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	2	9	10	0	0	0	0	0	0	5	0	8	18	0	2	0	0	0	0	26	5	104	123	46	17	4	2	0	9	3	0	12	20	9	6	0	0	7	0	221	279	26	861	270	129	85	52	99	135	175	10	7	0	60	2	0	0	0	0	0	8	91	12	27	8	0	0	0	6	4	134	0	4	6	0	0	0	0	0	1	24	83	468	352	96	24	11	5	7	0	5	43	158	232	21	13	7	0	4	12	14	5	77	241	91	14	10	0	0	2	0	47	11	5	5	0	0	0	1
Seq_8	0	0	12	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	1454	1168	0	955	992	1610	1904	2253	2221	0	2	0	0	0	0	4	1	0	0	0	3	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	163	165	64	65	95	170	169	401	186	172	377	471	246	226	101	335	933	391	618	573	23	432	102	57	195	239	523	233	369	201	477	564	319	353	899	793	1101	911	622	694	2799	1818	1872	347	609	1267	2699	3618	2495	3139	53	42	8	7	6	8	24	63	22	47	1777	1786	887	1296	1304	1510	1837	1522	1887	1950	1268	1097	289	597	819	1178	1159	1454	1509	955	1	0	713	0	0	0	0	0	0	0	479	968	105	389	533	615	988	1853	1059	704	723	1392	82	139	243	533	798	1520	849	795	831	1841	167	224	451	714	1038	2054	1791	1033	1191	2160	337	240	232	911	3239	3090	3225	2848	343	311	151	109	135	145	515	768	483	302	4020	3851	59	542	451	1949	4158	6746	6719	5458	1652	989	1170	1041	815	1614	1629	2791	2860	2093
Seq_9	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2961	2547	0	1544	1707	3541	3994	3892	3383	1	0	0	0	0	1	8	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	966	1175	391	408	840	1220	841	1914	979	782	2019	2423	1044	1069	826	2808	5208	2971	3410	2299	133	1246	275	213	767	979	1305	1062	1091	566	239	301	42	62	165	294	445	395	341	270	3543	3523	3932	2341	4141	5370	6251	6612	3697	3753	278	287	34	74	278	371	488	470	117	84	894	892	597	1061	1102	1661	1735	1039	1054	1038	494	508	187	362	532	543	462	492	573	425	0	0	1085	0	0	0	1	0	0	0	6	17	3	11	16	14	20	31	17	19	195	330	28	40	69	195	335	309	188	193	99	186	26	81	465	184	172	185	180	85	48	98	23	10	15	65	158	118	130	100	1237	1542	716	624	447	558	2227	2915	1882	1248	0	0	0	0	37	0	0	0	0	0	1107	585	865	714	615	1447	1451	1925	1624	1102
Seq_10	483	505	401	623	1127	967	991	922	643	387	672	436	479	615	692	1735	2169	2697	1500	1062	722	995	465	401	519	764	944	1968	1385	1002	696	661	374	148	513	840	2085	2003	1157	1033	1130	1311	80	31	243	1022	2133	2392	901	1926	298	321	32	266	904	1154	1172	364	211	236	17	313	22	27	402	1002	693	541	317	323	707	613	626	575	1075	1128	757	493	505	687	340	523	155	265	619	855	1327	1718	14	0	5	281	3	14	4	2	0	0	431	88	122	46	47	44	118	386	254	167	144	2130	2008	763	430	805	3563	3031	5439	4188	2655	1532	1687	54	120	164	1346	4141	3652	2626	1390	318	312	0	23	433	880	1362	800	305	271	123	740	18	43	293	908	2270	1556	619	491	1728	2924	45	17	3008	2658	2680	3679	1812	1399	1	1	23	14	8	0	0	0	0	1	1	0	8	9	0	0	31	1	0	0	47	1	8	2	1	70	0	0	16	0	0	0	0	0	0	0	0	0	4	0	0	1	1	3	0	0	0	0	0	0	2	2	5	2	0	1	0	0	0	0	31	1	5	21	23	8	0	0	3	8	0	0	0	2	6	2	0	0	35	0	741	929	2	787	920	852	830	438	351	506	222	2	6	3	1	0	0	0	0	0	3	0	4	0	11	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	8	0	5	3	7	6	4	0	5	0	3	0	0	3	1	2	0	2	0	0	6	0	0	6	4	0	0	4	1	0	0	44	4	6	4	3	2	0	0
