"sample_ID","merged_sample_name","Read1_file","Long_name","Species","Collection_purchase_date","Label (13C)","Day","Replicate","TNA_ext_Date","TNA ext. batch","RNA (ng/ul)","Volume per gradient (ul)","PCR date","PCR batch","PCR_ID","Sample no.","Fraction no.","Control","16S_copies (diluted RNA)","16S_copies (undiluted RNA)","Density (nD-TC)","Density (g ml-1)"
"EP_CON_D14_10","Roey067-E3-10_S227","Roey067-E3-10_S227_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_10","21","10","FALSE","114054.06","17108109","1.3714","1.7534"
"EP_CON_D14_11","Roey075-E3-11_S235","Roey075-E3-11_S235_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_11","21","11","FALSE","9013.54","1352031","1.3710","1.7407"
"EP_CON_D14_2","Roey003-E3-2_S163","Roey003-E3-2_S163_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","15.1.2021","2","E3_2","21","2","FALSE","4091.36","613703","1.3741","1.8389"
"EP_CON_D14_3","Roey011-E3-3_S171","Roey011-E3-3_S171_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","15.1.2021","2","E3_3","21","3","FALSE","6645.59","996838","1.3737","1.8262"
"EP_CON_D14_4","Roey019-E3-4_S179","Roey019-E3-4_S179_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_4","21","4","FALSE","24890.01","3733501","1.3734","1.8167"
"EP_CON_D14_5","Roey027-E3-5_S187","Roey027-E3-5_S187_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_5","21","5","FALSE","295182.38","44277356","1.3730","1.8041"
"EP_CON_D14_6","Roey035-E3-6_S195","Roey035-E3-6_S195_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_6","21","6","FALSE","2542498.25","381374738","1.3727","1.7946"
"EP_CON_D14_7","Roey043-E3-7_S203","Roey043-E3-7_S203_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_7","21","7","FALSE","2923268.5","438490275","1.3724","1.7851"
"EP_CON_D14_8","Roey051-E3-8_S211","Roey051-E3-8_S211_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_8","21","8","FALSE","1546259.5","231938925","1.3721","1.7756"
"EP_CON_D14_9","Roey059-E3-9_S219","Roey059-E3-9_S219_L001_R1_001_noPrimers.fastq.gz","Epibolus control Day 14","Epibolus pulchripes","30/05/2020","Unlabelled","14","1","05-11-2020","3","422","1.18","14.12.2021, 13.1.2021,14.1.2021","1","E3_9","21","9","FALSE","293954.81","44093222","1.3717","1.7629"
