merged_sample_name	sample_name	Read1_file	input	filtered	denoised	merged	tabled	nonchim
Roey001-E1-2_S161	Roey001-E1-2_S161	Roey001-E1-2_S161_L001_R1_001_noPrimers.fastq.gz	44452	44018	43814	43220	43220	42982
Roey002-E2-2_S162	Roey002-E2-2_S162	Roey002-E2-2_S162_L001_R1_001_noPrimers.fastq.gz	46878	46427	46166	45174	45167	44770
Roey003-E3-2_S163	Roey003-E3-2_S163	Roey003-E3-2_S163_L001_R1_001_noPrimers.fastq.gz	45155	44701	44489	43668	43666	43306
Roey004-G1-2_S164	Roey004-G1-2_S164	Roey004-G1-2_S164_L001_R1_001_noPrimers.fastq.gz	21682	21461	21285	20913	20913	20807
Roey005-G2-1_S165	Roey005-G2-1_S165	Roey005-G2-1_S165_L001_R1_001_noPrimers.fastq.gz	28335	28015	27672	25710	25607	25444
Roey006-G3-2_S166	Roey006-G3-2_S166	Roey006-G3-2_S166_L001_R1_001_noPrimers.fastq.gz	29231	28913	28760	28180	28179	27994
Roey007-1-2_S167	Roey007-1-2_S167	Roey007-1-2_S167_L001_R1_001_noPrimers.fastq.gz	30086	29854	29735	29282	29282	28941
Roey008-2-2_S168	Roey008-2-2_S168	Roey008-2-2_S168_L001_R1_001_noPrimers.fastq.gz	53210	52714	52512	51714	51714	50148
Roey009-E1-3_S169	Roey009-E1-3_S169	Roey009-E1-3_S169_L001_R1_001_noPrimers.fastq.gz	31542	31236	31004	30650	30647	30529
Roey010-E2-3_S170	Roey010-E2-3_S170	Roey010-E2-3_S170_L001_R1_001_noPrimers.fastq.gz	13780	13645	13496	13145	13145	13030
Roey011-E3-3_S171	Roey011-E3-3_S171	Roey011-E3-3_S171_L001_R1_001_noPrimers.fastq.gz	51126	50633	50403	49427	49421	48982
Roey012-G1-3_S172	Roey012-G1-3_S172	Roey012-G1-3_S172_L001_R1_001_noPrimers.fastq.gz	21176	20946	20704	20448	20448	20360
Roey013-G2-2_S173	Roey013-G2-2_S173	Roey013-G2-2_S173_L001_R1_001_noPrimers.fastq.gz	24814	24521	24173	22990	22985	22875
Roey014-G3-3_S174	Roey014-G3-3_S174	Roey014-G3-3_S174_L001_R1_001_noPrimers.fastq.gz	25291	25002	24651	24239	24235	24100
Roey015-1-3_S175	Roey015-1-3_S175	Roey015-1-3_S175_L001_R1_001_noPrimers.fastq.gz	63213	62662	62464	61265	61260	59680
Roey016-2-3_S176	Roey016-2-3_S176	Roey016-2-3_S176_L001_R1_001_noPrimers.fastq.gz	99696	98757	98332	95762	95762	91140
Roey017-E1-4_S177	Roey017-E1-4_S177	Roey017-E1-4_S177_L001_R1_001_noPrimers.fastq.gz	41578	41202	41019	40584	40577	40385
Roey018-E2-4_S178	Roey018-E2-4_S178	Roey018-E2-4_S178_L001_R1_001_noPrimers.fastq.gz	46615	46149	45888	45089	45088	44638
Roey019-E3-4_S179	Roey019-E3-4_S179	Roey019-E3-4_S179_L001_R1_001_noPrimers.fastq.gz	46524	46076	45856	45142	45142	44804
Roey020-G1-4_S180	Roey020-G1-4_S180	Roey020-G1-4_S180_L001_R1_001_noPrimers.fastq.gz	12085	11960	11807	11540	11535	11493
Roey021-G2-3_S181	Roey021-G2-3_S181	Roey021-G2-3_S181_L001_R1_001_noPrimers.fastq.gz	11003	10864	10674	10014	10014	9919
Roey022-G3-4_S182	Roey022-G3-4_S182	Roey022-G3-4_S182_L001_R1_001_noPrimers.fastq.gz	28492	28209	27988	27507	27507	27371
Roey023-1-4_S183	Roey023-1-4_S183	Roey023-1-4_S183_L001_R1_001_noPrimers.fastq.gz	121957	120770	120059	115627	115621	109284
Roey024-2-4_S184	Roey024-2-4_S184	Roey024-2-4_S184_L001_R1_001_noPrimers.fastq.gz	76427	75742	75407	73970	73965	71930
Roey025-E1-5_S185	Roey025-E1-5_S185	Roey025-E1-5_S185_L001_R1_001_noPrimers.fastq.gz	48284	47850	47654	46893	46887	46371
Roey025-LL1_S25	Roey025-LL1_S25	Roey025-LL1_S25_L001_R1_001_noPrimers.fastq.gz	50288	49723	49119	36410	35965	27583
Roey026-E2-5_S186	Roey026-E2-5_S186	Roey026-E2-5_S186_L001_R1_001_noPrimers.fastq.gz	63071	62504	62152	60806	60803	59834
Roey026-LL2_S26	Roey026-LL2_S26	Roey026-LL2_S26_L001_R1_001_noPrimers.fastq.gz	46787	46218	45754	34288	32936	24965
Roey027-E3-5_S187	Roey027-E3-5_S187	Roey027-E3-5_S187_L001_R1_001_noPrimers.fastq.gz	98035	97064	96674	94417	94408	92531
Roey027-UL1_S27	Roey027-UL1_S27	Roey027-UL1_S27_L001_R1_001_noPrimers.fastq.gz	54918	54284	53644	36891	36883	31167
Roey028-G1-5_S188	Roey028-G1-5_S188	Roey028-G1-5_S188_L001_R1_001_noPrimers.fastq.gz	40860	40494	40153	39545	39545	39378
Roey028-UL2_S28	Roey028-UL2_S28	Roey028-UL2_S28_L001_R1_001_noPrimers.fastq.gz	65266	64508	63468	42193	42180	35859
Roey029-BC3_S29	Roey029-BC3_S29	Roey029-BC3_S29_L001_R1_001_noPrimers.fastq.gz	3926	3864	3640	2913	2913	2901
Roey029-G2-4_S189	Roey029-G2-4_S189	Roey029-G2-4_S189_L001_R1_001_noPrimers.fastq.gz	29880	29570	29276	27620	27614	27499
Roey030-BC4_S30	Roey030-BC4_S30	Roey030-BC4_S30_L001_R1_001_noPrimers.fastq.gz	449	443	433	377	377	376
