Code,Treatment,Replicate,Individual,Time,Status
1A,Control,1,1,35,1
1B,Control,2,2,42,0
1C,Control,3,3,42,0
1D,Control,4,4,42,0
1E,Control,5,5,42,0
1F,Control,6,6,42,0
1G,Control,7,7,42,0
1H,Control,8,8,42,0
1I,Control,9,9,42,0
1J,Control,10,10,42,0
2A,Sterile,1,11,42,0
2B,Sterile,2,12,42,0
2C,Sterile,3,13,42,0
2D,Sterile,4,14,42,0
2E,Sterile,5,15,35,1
2F,Sterile,6,16,42,0
2G,Sterile,7,17,42,0
2H,Sterile,8,18,42,0
2I,Sterile,9,19,42,0
2J,Sterile,10,20,42,0
3A,2X diluted,1,21,42,0
3B,2X diluted,2,22,42,0
3C,2X diluted,3,23,42,0
3D,2X diluted,4,24,42,0
3E,2X diluted,5,25,35,1
3F,2X diluted,6,26,42,0
3G,2X diluted,7,27,42,0
3H,2X diluted,8,28,42,0
3I,2X diluted,9,29,42,0
3J,2X diluted,10,30,42,0
4A,5X diluted,1,31,42,0
4B,5X diluted,2,32,42,0
4C,5X diluted,3,33,42,0
4D,5X diluted,4,34,42,0
4E,5X diluted,5,35,35,1
4F,5X diluted,6,36,42,0
4G,5X diluted,7,37,42,0
4H,5X diluted,8,38,42,0
4I,5X diluted,9,39,42,0
4J,5X diluted,10,40,42,0
