Code,No. of faecal pellets,Treatment,Replicate,Date,Day,Individual
1A,0,Control,1,05/11/2019,1,1
1B,0,Control,2,05/11/2019,1,2
1C,0,Control,3,05/11/2019,1,3
1D,0,Control,4,05/11/2019,1,4
1E,0,Control,5,05/11/2019,1,5
1F,0,Control,6,05/11/2019,1,6
1G,0,Control,7,05/11/2019,1,7
1H,0,Control,8,05/11/2019,1,8
1I,0,Control,9,05/11/2019,1,9
1J,0,Control,10,05/11/2019,1,10
2A,0,Sterile,1,05/11/2019,1,11
2B,0,Sterile,2,05/11/2019,1,12
2C,0,Sterile,3,05/11/2019,1,13
2D,0,Sterile,4,05/11/2019,1,14
2E,0,Sterile,5,05/11/2019,1,15
2F,0,Sterile,6,05/11/2019,1,16
2G,0,Sterile,7,05/11/2019,1,17
2H,0,Sterile,8,05/11/2019,1,18
2I,0,Sterile,9,05/11/2019,1,19
2J,0,Sterile,10,05/11/2019,1,20
3A,0,Undiluted,1,05/11/2019,1,21
3B,0,Undiluted,2,05/11/2019,1,22
3C,0,Undiluted,3,05/11/2019,1,23
3D,0,Undiluted,4,05/11/2019,1,24
3E,0,Undiluted,5,05/11/2019,1,25
3F,0,Undiluted,6,05/11/2019,1,26
3G,0,Undiluted,7,05/11/2019,1,27
3H,0,Undiluted,8,05/11/2019,1,28
3I,0,Undiluted,9,05/11/2019,1,29
3J,0,Undiluted,10,05/11/2019,1,30
4A,0,2X Diluted,1,05/11/2019,1,31
4B,0,2X Diluted,2,05/11/2019,1,32
4C,0,2X Diluted,3,05/11/2019,1,33
4D,0,2X Diluted,4,05/11/2019,1,34
4E,0,2X Diluted,5,05/11/2019,1,35
4F,0,2X Diluted,6,05/11/2019,1,36
4G,0,2X Diluted,7,05/11/2019,1,37
4H,0,2X Diluted,8,05/11/2019,1,38
4I,0,2X Diluted,9,05/11/2019,1,39
4J,0,2X Diluted,10,05/11/2019,1,40
1A,5,Control,1,06/11/2019,2,1
1B,5,Control,2,06/11/2019,2,2
1C,16,Control,3,06/11/2019,2,3
1D,9,Control,4,06/11/2019,2,4
1E,14,Control,5,06/11/2019,2,5
1F,9,Control,6,06/11/2019,2,6
1G,4,Control,7,06/11/2019,2,7
1H,3,Control,8,06/11/2019,2,8
1I,8,Control,9,06/11/2019,2,9
1J,4,Control,10,06/11/2019,2,10
2A,9,Sterile,1,06/11/2019,2,11
2B,3,Sterile,2,06/11/2019,2,12
2C,8,Sterile,3,06/11/2019,2,13
2D,8,Sterile,4,06/11/2019,2,14
2E,4,Sterile,5,06/11/2019,2,15
2F,3,Sterile,6,06/11/2019,2,16
2G,6,Sterile,7,06/11/2019,2,17
2H,5,Sterile,8,06/11/2019,2,18
2I,5,Sterile,9,06/11/2019,2,19
2J,5,Sterile,10,06/11/2019,2,20
3A,6,Undiluted,1,06/11/2019,2,21
3B,4,Undiluted,2,06/11/2019,2,22
3C,7,Undiluted,3,06/11/2019,2,23
3D,4,Undiluted,4,06/11/2019,2,24
3E,3,Undiluted,5,06/11/2019,2,25
3F,4,Undiluted,6,06/11/2019,2,26
3G,5,Undiluted,7,06/11/2019,2,27
3H,5,Undiluted,8,06/11/2019,2,28
3I,7,Undiluted,9,06/11/2019,2,29
3J,5,Undiluted,10,06/11/2019,2,30
4A,2,2X Diluted,1,06/11/2019,2,31
4B,8,2X Diluted,2,06/11/2019,2,32
4C,8,2X Diluted,3,06/11/2019,2,33
4D,2,2X Diluted,4,06/11/2019,2,34
4E,3,2X Diluted,5,06/11/2019,2,35
4F,5,2X Diluted,6,06/11/2019,2,36
4G,2,2X Diluted,7,06/11/2019,2,37
4H,8,2X Diluted,8,06/11/2019,2,38
4I,4,2X Diluted,9,06/11/2019,2,39
4J,5,2X Diluted,10,06/11/2019,2,40
1A,13,Control,1,07/11/2019,3,1
1B,3,Control,2,07/11/2019,3,2
1C,6,Control,3,07/11/2019,3,3
