Code,No. of colonies per pellet,Treatment,Replicate,Date,Day,Individual,Number of Faeces,Total colonies
1A,15050,Control,1,06/11/19,2,1,5,75250
1B,76200,Control,2,06/11/19,2,2,5,381000
1C,43700,Control,3,06/11/19,2,3,16,699200
1D,35250,Control,4,06/11/19,2,4,9,317250
1E,28550,Control,5,06/11/19,2,5,14,399700
1F,54750,Control,6,06/11/19,2,6,9,492750
1G,10800,Control,7,06/11/19,2,7,4,43200
1H,104400,Control,8,06/11/19,2,8,3,313200
1I,1950,Control,9,06/11/19,2,9,8,15600
1J,121300,Control,10,06/11/19,2,10,4,485200
2A,16250,Sterile,1,06/11/19,2,11,9,146250
2B,133300,Sterile,2,06/11/19,2,12,3,399900
2C,55900,Sterile,3,06/11/19,2,13,8,447200
2D,100100,Sterile,4,06/11/19,2,14,8,800800
2E,17800,Sterile,5,06/11/19,2,15,4,71200
2F,81500,Sterile,6,06/11/19,2,16,3,244500
2G,87900,Sterile,7,06/11/19,2,17,6,527400
2H,50900,Sterile,8,06/11/19,2,18,5,254500
2I,108450,Sterile,9,06/11/19,2,19,5,542250
2J,58050,Sterile,10,06/11/19,2,20,5,290250
3A,53300,Undiluted,1,06/11/19,2,21,6,319800
3B,64450,Undiluted,2,06/11/19,2,22,4,257800
3C,184000,Undiluted,3,06/11/19,2,23,7,1288000
3D,85250,Undiluted,4,06/11/19,2,24,4,341000
3E,95350,Undiluted,5,06/11/19,2,25,3,286050
3F,47200,Undiluted,6,06/11/19,2,26,4,188800
3G,39050,Undiluted,7,06/11/19,2,27,5,195250
3H,35950,Undiluted,8,06/11/19,2,28,5,179750
3I,77550,Undiluted,9,06/11/19,2,29,7,542850
3J,74750,Undiluted,10,06/11/19,2,30,5,373750
4A,52850,2X Diluted,1,06/11/19,2,31,2,105700
4B,30250,2X Diluted,2,06/11/19,2,32,8,242000
4C,52350,2X Diluted,3,06/11/19,2,33,8,418800
4D,69400,2X Diluted,4,06/11/19,2,34,2,138800
4E,18550,2X Diluted,5,06/11/19,2,35,3,55650
4F,39650,2X Diluted,6,06/11/19,2,36,5,198250
4G,14250,2X Diluted,7,06/11/19,2,37,2,28500
4H,10500,2X Diluted,8,06/11/19,2,38,8,84000
4I,22750,2X Diluted,9,06/11/19,2,39,4,91000
4J,68950,2X Diluted,10,06/11/19,2,40,5,344750
1A,85450,Control,1,13/11/19,9,1,8,683600
1B,87450,Control,2,13/11/19,9,2,11,961950
1C,154450,Control,3,13/11/19,9,3,5,772250
1D,139150,Control,4,13/11/19,9,4,3,417450
1E,91150,Control,5,13/11/19,9,5,5,455750
1F,79700,Control,6,13/11/19,9,6,4,318800
1G,81250,Control,7,13/11/19,9,7,5,406250
1H,123600,Control,8,13/11/19,9,8,3,370800
1I,93300,Control,9,13/11/19,9,9,3,279900
1J,100850,Control,10,13/11/19,9,10,5,504250
2A,46550,Sterile,1,13/11/19,9,11,1,46550
2B,55400,Sterile,2,13/11/19,9,12,1,55400
2C,86000,Sterile,3,13/11/19,9,13,1,86000
2D,82150,Sterile,4,13/11/19,9,14,2,164300
2E,43150,Sterile,5,13/11/19,9,15,1,43150
2F,69750,Sterile,6,13/11/19,9,16,1,69750
2G,68100,Sterile,7,13/11/19,9,17,2,136200
2H,56300,Sterile,8,13/11/19,9,18,1,56300
2I,68500,Sterile,9,13/11/19,9,19,1,68500
2J,43100,Sterile,10,13/11/19,9,20,1,43100
3A,23200,Undiluted,1,13/11/19,9,21,2,46400
3B,39750,Undiluted,2,13/11/19,9,22,1,39750
3C,28500,Undiluted,3,13/11/19,9,23,1,28500
3D,45700,Undiluted,4,13/11/19,9,24,1,45700
3E,40600,Undiluted,5,13/11/19,9,25,1,40600
3F,42900,Undiluted,6,13/11/19,9,26,2,85800
3G,27050,Undiluted,7,13/11/19,9,27,1,27050
3H,22200,Undiluted,8,13/11/19,9,28,2,44400
3I,26450,Undiluted,9,13/11/19,9,29,3,79350
3J,25000,Undiluted,10,13/11/19,9,30,1,25000
4A,52300,2X Diluted,1,13/11/19,9,31,1,52300
4B,36900,2X Diluted,2,13/11/19,9,32,2,73800
4C,44600,2X Diluted,3,13/11/19,9,33,3,133800
4D,39750,2X Diluted,4,13/11/19,9,34,2,79500
4E,38300,2X Diluted,5,13/11/19,9,35,1,38300
4F,46750,2X Diluted,6,13/11/19,9,36,1,46750
4G,8500,2X Diluted,7,13/11/19,9,37,2,17000
4H,50900,2X Diluted,8,13/11/19,9,38,1,50900
4I,15400,2X Diluted,9,13/11/19,9,39,3,46200
4J,77450,2X Diluted,10,13/11/19,9,40,2,154900
1A,138500,Control,1,20/11/19,16,1,2,277000
1B,39900,Control,2,20/11/19,16,2,3,119700
1C,77600,Control,3,20/11/19,16,3,5,388000
1D,37700,Control,4,20/11/19,16,4,4,150800
1E,232900,Control,5,20/11/19,16,5,5,1164500
1F,249400,Control,6,20/11/19,16,6,4,997600
1G,114450,Control,7,20/11/19,16,7,3,343350
1H,239800,Control,8,20/11/19,16,8,4,959200
1I,90900,Control,9,20/11/19,16,9,3,272700
1J,114400,Control,10,20/11/19,16,10,3,343200
2A,30850,Sterile,1,20/11/19,16,11,1,30850
2B,73100,Sterile,2,20/11/19,16,12,1,73100
2C,14300,Sterile,3,20/11/19,16,13,1,14300
2D,28900,Sterile,4,20/11/19,16,14,1,28900
2E,42650,Sterile,5,20/11/19,16,15,1,42650
2F,55350,Sterile,6,20/11/19,16,16,1,55350
2G,146300,Sterile,7,20/11/19,16,17,1,146300
2H,72050,Sterile,8,20/11/19,16,18,2,144100
2I,100,Sterile,9,20/11/19,16,19,1,100
2J,59950,Sterile,10,20/11/19,16,20,1,59950
3A,100,Undiluted,1,20/11/19,16,21,1,100
3B,27650,Undiluted,2,20/11/19,16,22,1,27650
3C,31150,Undiluted,3,20/11/19,16,23,2,62300
3D,5150,Undiluted,4,20/11/19,16,24,1,5150
3E,16550,Undiluted,5,20/11/19,16,25,1,16550
3F,13350,Undiluted,6,20/11/19,16,26,1,13350
3G,1600,Undiluted,7,20/11/19,16,27,1,1600
