Comparison,diff.btw,diff.win,effect,overlap,OTU,baseMean,Kingdom,Phylum,Class,Order,Family,Genus,Species,Significance
Sterile feed _vs_ Control,6.645537985620411,1.6582381466719127,2.2309670915092132,3.6539984880401186e-4,Seq_3,1.3251239404659685,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,NA,Pass
Sterile feed _vs_ Control,7.490420857661746,2.084820494585536,1.9045634478846236,3.6539984880401186e-4,Seq_4,2.9572546770540193,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,Pass
Sterile feed _vs_ Control,8.471601086174617,6.5412863231225185,1.8832942438457372,0.005260450607949098,Seq_5,5.012366826561433,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Pass
Sterile feed _vs_ Control,5.955620665962483,1.489508375416579,3.2926188669586445,3.6539984880401186e-4,Seq_6,2.125173754045015,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pass
Sterile feed _vs_ Control,4.243497629872382,3.5672420519267307,1.1093830847719983,0.06250421856082614,Seq_8,0.005521114033469232,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,phenylacetica,Fail
Sterile feed _vs_ Control,9.22983565637468,6.397339625502081,1.573367600495283,0.010443256861835112,Seq_9,0.10185257389976371,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA,NA,Pass
Sterile feed _vs_ Control,5.827136200506383,2.3540250831288665,2.42597285882555,3.6539984880401186e-4,Seq_10,0.3348969768164806,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Pass
Sterile feed _vs_ Control,11.370963741064884,3.854602454066667,2.7476559369872593,3.6539984880401186e-4,Seq_14,0.21170081715895275,Archaea,Rare,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Pass
Sterile feed _vs_ Control,4.445765556268447,3.7216041370428066,1.223980981980805,0.06218036416243111,Seq_16,0.030114473877293085,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Fail
Sterile feed _vs_ Control,5.317324721319997,2.5557413933047686,2.1701951320920543,0.005260450607949098,Seq_17,0.1099757505835378,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Pass
Sterile feed _vs_ Control,8.732879407707847,4.791601384121286,1.7908440894923507,3.6539984880401186e-4,Seq_18,0.6201839106204454,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Pass
Sterile feed _vs_ Control,6.544623869156203,5.299655434516216,1.2716607323528106,0.11458548008242522,Seq_19,4.105475139756723,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,NA,Fail
Sterile feed _vs_ Control,7.942062496898588,2.1776745036753606,3.655104352073826,3.6539984880401186e-4,Seq_20,0.2741133899764227,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,NA,Pass
Sterile feed _vs_ Control,7.9299777003735095,2.6049794719020536,2.7414946322612614,3.6539984880401186e-4,Seq_21,1.8350897650264875,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA,Pass
Sterile feed _vs_ Control,2.257546284901072,4.805425782638763,0.4163708579097908,0.33160664253884775,Seq_22,0.0017467874901821417,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,5.348196286055501,4.272754137071729,1.13893727646935,0.11458548008242522,Seq_23,0.02054159892309575,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Fail
Sterile feed _vs_ Control,8.187944075318505,8.039258688588713,1.1879257730958002,0.11917301344015688,Seq_24,1.018719779949182,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,0.15135064817932342,3.9079919542241024,0.02579871949645098,0.4947916784415895,Seq_27,0.02003583349839546,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,NA,NA,Fail
Sterile feed _vs_ Control,4.279874756445074,6.460566540078148,0.692073724520964,0.27083398913296086,Seq_28,0.033191855708731795,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,NA,Fail
Sterile feed _vs_ Control,11.6882902842055,5.836894537216269,1.7099447005857658,0.0729202363990322,Seq_29,1.4801149857907825,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,vadinHA21,NA,NA,Fail
Sterile feed _vs_ Control,-4.755018359711729,4.5034133067328135,-1.0967892944427906,0.12500193748673707,Seq_30,1.4538959590378768,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,parva,Fail
Sterile feed _vs_ Control,4.522359671062724,2.373409298515977,1.7697881358554408,3.6539984880401186e-4,Seq_31,3.8457731504092716,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,Pass
