Comparison,OTU,baseMean,effect,Phylum,Class,Order,Family,Genus
Sterile feed _vs_ Control,Seq_96,0.6060822659336618,4.591142878862378,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Sterile feed _vs_ Control,Seq_357,0.055075790344111614,3.764632791945896,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,NA
Sterile feed _vs_ Control,Seq_20,0.2741133899764227,3.655104352073826,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella
Sterile feed _vs_ Control,Seq_421,0.0715286194058204,3.5370826017569126,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
Sterile feed _vs_ Control,Seq_838,0.12243897994005941,3.519303153133685,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella
Sterile feed _vs_ Control,Seq_952,0.09951409622825819,3.5166235681778355,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
Sterile feed _vs_ Control,Seq_35,0.09572563156244633,3.3613801369976133,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
Sterile feed _vs_ Control,Seq_279,0.13154320504412556,3.303616904303925,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
Sterile feed _vs_ Control,Seq_6,2.125173754045015,3.2926188669586445,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Sterile feed _vs_ Control,Seq_134,0.15308516146612844,3.2593119041932805,Bacteroidota,Bacteroidia,NA,NA,NA
Sterile feed _vs_ Control,Seq_448,0.18445803561877314,3.1369214680013835,Rare,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
Sterile feed _vs_ Control,Seq_888,0.03843681109264009,3.1300625613196567,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,NA
Sterile feed _vs_ Control,Seq_349,0.029518467825188324,3.1221059487668255,Firmicutes,Clostridia,NA,NA,NA
Sterile feed _vs_ Control,Seq_295,0.09556155641222706,3.04460209631839,Rare,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
Sterile feed _vs_ Control,Seq_32,0.13620946561025477,2.980039460684066,Rare,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanimicrococcus
Sterile feed _vs_ Control,Seq_702,0.03472154587655229,2.976641098675403,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_802,0.07815924034561579,2.9464968114210253,Rare,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium
Sterile feed _vs_ Control,Seq_183,0.10621867675839429,2.938334433418698,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Sterile feed _vs_ Control,Seq_546,0.027262502374658715,2.925111235231567,Rare,Synergistia,Synergistales,Synergistaceae,NA
Sterile feed _vs_ Control,Seq_42,0.5496658613162115,2.897727851728977,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Sterile feed _vs_ Control,Seq_340,0.06853865335836296,2.826019220731495,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
Sterile feed _vs_ Control,Seq_1342,0.03033198642780186,2.790347728151062,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_314,0.030495285907203358,2.7798463581577693,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_496,0.01957722261203816,2.7737007273011542,Verrucomicrobiota,Verrucomicrobiae,Opitutales,NA,NA
Sterile feed _vs_ Control,Seq_69,0.15237502785307666,2.7526561327886476,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
Sterile feed _vs_ Control,Seq_14,0.21170081715895275,2.7476559369872593,Rare,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma
Sterile feed _vs_ Control,Seq_21,1.8350897650264875,2.7414946322612614,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Sterile feed _vs_ Control,Seq_145,0.5468601892171921,-2.7207209891085045,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter
Sterile feed _vs_ Control,Seq_715,0.03561079859812681,2.6934259650613006,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
