taxon,lfc_(Intercept),lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (1X),se_(Intercept),se_TreatmentSterile feed,se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (1X),W_(Intercept),W_TreatmentSterile feed,W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (1X),p_(Intercept),p_TreatmentSterile feed,p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (1X),q_(Intercept),q_TreatmentSterile feed,q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (1X),diff_(Intercept),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (1X),passed_ss_(Intercept),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (1X)
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Citrobacter,-2.33979052891084,2.580923773899056,3.085159024508594,3.4583447662764066,0.4909239989886423,0.6930345172573317,1.8675753517713338,0.9197993711214338,-4.766095228041544,3.7240912387928424,1.6519595964802287,3.75989033571521,0.0014156841069336932,0.005837019897340568,0.1371460152363955,0.005545201070982569,0.01124314406909846,0.026192335673583967,0.39184575781827286,0.06756172134928012,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Klebsiella,-1.3065784700304752,2.9026596979460155,0.7006675685573377,1.3846230713408805,0.5295428458062871,0.8314911354947788,0.8112760620015673,0.9699576503695982,-2.4673706393692587,3.4909087710463536,0.8636610906879982,1.427508789495372,0.04299832637459001,0.010116251522114587,0.41638286048010253,0.1964849910180428,0.11466220366557335,0.03887769036518307,0.651547045636994,0.42179584183487984,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides,-2.17391345338459,5.381073724223022,0.33486585291866117,2.744979685437379,1.7210551997445138,1.8470492053142624,1.910268828144653,2.540538995921121,-1.2631282562623802,2.9133353398170407,0.17529776332261013,1.0804713841607987,0.24211161842111453,0.019489240468043584,0.8652012797564933,0.3114253720961241,0.36092043373766586,0.06496413489347862,0.8873859279553776,0.5416093427758679,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,-2.0680445907049125,3.0633572164810814,2.094092506105559,2.879994089273707,0.3922298102802322,0.5909750734201938,0.5602319613128215,0.71106428161031,-5.272532929680636,5.1835641709087446,3.737902602340574,4.050258413700004,7.529810677923945e-4,8.390874435927839e-4,0.0057225370457303654,0.00368288954000665,0.007529810677923946,0.015427848161982966,0.07630049394307155,0.06756172134928012,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA,-3.1846139631585113,4.380562400083667,3.2292415426728027,4.304156272564603,0.38263340089824377,0.6342537195102467,0.6677857871707991,0.6855980071474719,-8.322885445135034,6.90664045843707,4.8357446425358885,6.277959135955861,1.6325271237094423e-4,4.554423904045546e-4,0.002893287314085055,7.595532131109422e-4,0.0037177395655272685,0.014804646813372516,0.04629259702536088,0.03038212852443769,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter,-1.9446292774182896,2.288520258247146,2.250190420804758,3.0050718796619535,0.42390226304962664,0.5885642266352081,1.059058874355866,1.1484403133373147,-4.5874472653868095,3.888310153218962,2.1247075826387407,2.6166548185071568,0.001784518404282051,0.004620236242061369,0.06633730004665761,0.030810135210330464,0.011896789361880341,0.026192335673583967,0.24122654562420948,0.16432072112176246,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_NA,-1.9124341274982084,2.809619684824512,2.113890571705437,1.9822536499898173,0.38164350630722665,0.7212756218842896,1.0421891006243498,1.0750046503582689,-5.011048520130409,3.8953481853227587,2.028317673288904,1.843948906945833,0.0015459323095010382,0.0059343378540636345,0.08211636688486451,0.10771920145171383,0.01124314406909846,0.026192335673583967,0.26277237403156645,0.3191680043013743,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Cronobacter,-1.0657271060901294,3.216948264533336,-0.9913779144303346,2.1265759442695042,1.0970399258601706,1.5721307354926375,1.2343535956934673,1.4682715467108824,-0.9714569916445936,2.046234573185979,-0.8031555284394603,1.4483533029249995,0.3636838168157707,0.07997361927082831,0.44829269437984975,0.190784717245865,0.46926944105260737,0.1564819732547785,0.6575123575785395,0.42179584183487984,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Brucella,-2.7403557710229154,4.119581440805878,2.9822092303776677,3.6248978619488144,0.1898627357024417,0.5785270886249785,0.4489601232764682,0.9756826897567049,-14.433352394741005,7.12080993579254,6.64248131574312,3.7152425681065577,5.192130925235501e-7,9.992060489599299e-5,1.620662656696772e-4,0.0059116506180620105,4.1537047401884005e-5,0.00799364839167944,0.012965301253574176,0.06756172134928012,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium,-1.8552684153532413,2.49682788704104,1.8849747200606164,2.8045365033520073,0.22528769806899696,0.5647768383811023,0.441834769032815,0.808853961741571,-8.235107514770043,4.420910556810442,4.266243519465123,3.4672964910915,3.5429000069003826e-5,0.002223790144104762,0.002738092996171226,0.008476356646419318,0.001417160002760153,0.017790321152838098,0.04629259702536088,0.08476356646419318,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
