taxon,lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (1X),lfc_TreatmentAntibiotics (2X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (1X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),se_TreatmentSterile feed,se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (1X),se_TreatmentAntibiotics (2X)_TreatmentSterile feed,se_TreatmentAntibiotics (1X)_TreatmentSterile feed,se_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),W_TreatmentSterile feed,W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (1X),W_TreatmentAntibiotics (2X)_TreatmentSterile feed,W_TreatmentAntibiotics (1X)_TreatmentSterile feed,W_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),p_TreatmentSterile feed,p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (1X),p_TreatmentAntibiotics (2X)_TreatmentSterile feed,p_TreatmentAntibiotics (1X)_TreatmentSterile feed,p_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),q_TreatmentSterile feed,q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (1X),q_TreatmentAntibiotics (2X)_TreatmentSterile feed,q_TreatmentAntibiotics (1X)_TreatmentSterile feed,q_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (1X),diff_TreatmentAntibiotics (2X)_TreatmentSterile feed,diff_TreatmentAntibiotics (1X)_TreatmentSterile feed,diff_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (1X),passed_ss_TreatmentAntibiotics (2X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (1X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X)
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Citrobacter,2.580923773899056,3.085159024508594,3.4583447662764066,0.504235250609538,0.8774209923773508,0.37318574176781283,0.6930345172573317,1.8675753517713338,0.9197993711214338,1.8897029056784795,0.9639347801076856,1.9841146924346318,3.7240912387928424,1.6519595964802287,3.75989033571521,0.26683308211800477,0.9102493347935117,0.1880867790510088,0.005837019897340568,0.1371460152363955,0.005545201070982569,0.7963469207309075,0.3892925530768955,0.8554919539509158,0.05323393028143266,1,0.05323393028143266,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Klebsiella,2.9026596979460155,0.7006675685573377,1.3846230713408805,-2.2019921293886777,-1.518036626605135,0.6839555027835428,0.8314911354947788,0.8112760620015673,0.9699576503695982,0.8745831184517194,1.0234962754277495,1.0071424756134806,3.4909087710463536,0.8636610906879982,1.427508789495372,-2.51776198617563,-1.4831872504574601,0.6791050117977847,0.010116251522114587,0.41638286048010253,0.1964849910180428,0.039941003275693734,0.18159069444345777,0.518887143226956,0.09711601461230003,1,1,0.3434926281709661,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides,5.381073724223022,0.33486585291866117,2.744979685437379,-5.046207871304361,-2.6360940387856426,2.410113832518718,1.8470492053142624,1.910268828144653,2.540538995921121,1.1384088053026136,2.025138514276313,2.082959968634629,2.9133353398170407,0.17529776332261013,1.0804713841607987,-4.432685207457588,-1.3016857959109307,1.1570620025398455,0.019489240468043584,0.8652012797564933,0.3114253720961241,0.002189163070187777,0.22925381323982713,0.2806254283351691,0.16760746802517482,1,1,0.021015965473802658,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,3.0633572164810814,2.094092506105559,2.879994089273707,-0.9692647103755223,-0.18336312720737435,0.785901583168148,0.5909750734201938,0.5602319613128215,0.71106428161031,0.6587180008259405,0.7909879687566046,0.7682904917998835,5.1835641709087446,3.737902602340574,4.050258413700004,-1.4714410554443627,-0.2318153176155289,1.0229224382655142,8.390874435927839e-4,0.0057225370457303654,0.00368288954000665,0.17938159705076587,0.8225011412202092,0.3362782464645374,0.008055239458490725,0.043491281547550775,0.03167285004405719,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA,4.380562400083667,3.2292415426728027,4.304156272564603,-1.1513208574108642,-0.07640612751906417,1.0749147298918,0.6342537195102467,0.6677857871707991,0.6855980071474719,0.6411146413510126,0.6596474461497587,0.6919500199050796,6.90664045843707,4.8357446425358885,6.277959135955861,-1.7958112062215592,-0.11582873240097076,1.5534571847244902,4.554423904045546e-4,0.002893287314085055,7.595532131109422e-4,0.12266188928131595,0.9115676971517715,0.17130579800784046,0.004372246947883724,0.021988983587046415,0.006532157632754103,0.8095684692566852,1,0.9593124688439065,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter,2.288520258247146,2.250190420804758,3.0050718796619535,-0.03832983744238794,0.7165516214148075,0.7548814588571955,0.5885642266352081,1.059058874355866,1.1484403133373147,1.0904982686239528,1.1774956168997974,1.47026996782749,3.888310153218962,2.1247075826387407,2.6166548185071568,-0.035148920952212524,0.6085386740558753,0.513430509617651,0.004620236242061369,0.06633730004665761,0.030810135210330464,0.9728221888519226,0.5597078920509596,0.6215254570399402,0.04435426792378914,0.5041634803545978,0.26496716280884197,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_NA,2.809619684824512,2.113890571705437,1.9822536499898173,-0.695729113119075,-0.8273660348346945,-0.13163692171561947,0.7212756218842896,1.0421891006243498,1.0750046503582689,1.1321516951787847,1.1624303582270676,1.38461689158537,3.8953481853227587,2.028317673288904,1.843948906945833,-0.6145193405457988,-0.7117553571954096,-0.09507100665578097,0.0059343378540636345,0.08211636688486451,0.10771920145171383,0.5583093469050016,0.49964266730639395,0.9269227345003823,0.05696964339901089,0.7062007552098347,0.8186659310330251,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Cronobacter,3.216948264533336,-0.9913779144303346,2.1265759442695042,-4.208326178963671,-1.0903723202638318,3.1179538586998388,1.5721307354926375,1.2343535956934673,1.4682715467108824,1.2645317222610426,1.4937312383035493,1.1328136484014604,2.046234573185979,-0.8031555284394603,1.4483533029249995,-3.327972011203471,-0.7299655334932825,2.7523978574054575,0.07997361927082831,0.44829269437984975,0.190784717245865,0.012626144088721038,0.4891134213149587,0.02840558026303622,0.6077995064582952,1,1,0.12121098325172196,1,0.24428799026211148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Brucella,4.119581440805878,2.9822092303776677,3.6248978619488144,-1.1373722104282105,-0.4946835788570638,0.6426886315711466,0.5785270886249785,0.4489601232764682,0.9756826897567049,0.7257006229235863,1.1300588094918504,1.0695347179636885,7.12080993579254,6.64248131574312,3.7152425681065577,-1.5672746784288922,-0.43775029644652425,0.6009048802032123,9.992060489599299e-5,1.620662656696772e-4,0.0059116506180620105,0.1556859669833319,0.6731454387858855,0.5645361477644654,9.592378070015326e-4,0.0013937698847592238,0.044928544697271276,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium,2.49682788704104,1.8849747200606164,2.8045365033520073,-0.6118531669804235,0.30770861631096746,0.9195617832913909,0.5647768383811023,0.441834769032815,0.808853961741571,0.6920493121773984,0.9684828438253122,0.9023325909765709,4.420910556810442,4.266243519465123,3.4672964910915,-0.8841178745707392,0.31772232030004827,1.01909405964842,0.002223790144104762,0.002738092996171226,0.008476356646419318,0.40242069628399846,0.7588302130604208,0.33798446142184146,0.021348385383405718,0.023547599767072543,0.06442031051278682,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
