Comparison,diff.btw,diff.win,effect,overlap,OTU,baseMean,Kingdom,Phylum,Class,Order,Family,Genus,Species,Significance
Sterile feed _vs_ Control,9.662244445429547,7.901037734507571,1.257866211860557,3.6539984880401186e-4,Seq_1,8.601730530526256,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,NA,Fail
Sterile feed _vs_ Control,7.841547933645986,5.587696930714525,1.1259268334541561,0.10937726601935378,Seq_2,0.5738693197454949,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,0.7565408278868238,2.36023833010597,0.33961695216201,0.3333337571830611,Seq_3,3.5423685808163694,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,NA,Fail
Sterile feed _vs_ Control,-0.7153268509215964,1.9211748022584523,-0.3464781829352268,0.3333337571830611,Seq_4,1.9484742818996161,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,Fail
Sterile feed _vs_ Control,-2.8230672218212156,0.48068717649706194,-0.8521735307979874,0.3281254405908101,Seq_5,5.8098097097237,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,5.982911424949101,4.986128909503468,1.1873818650522932,0.0259172268997107,Seq_6,0.4095194850252042,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,8.7050978357973,6.4526552456564525,1.027788003351342,0.07772350161516796,Seq_7,0.9775501220752942,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus_Symbiothrix,NA,Fail
Sterile feed _vs_ Control,1.7608946196568032,3.1801309370529176,0.4047826124957596,0.3125004932063641,Seq_8,0.5558231959693107,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,phenylacetica,Fail
Sterile feed _vs_ Control,0.5379092417718687,0.6215390419411193,0.6444434328178039,0.3367879734466224,Seq_9,2.9890581829227894,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA,NA,Fail
Sterile feed _vs_ Control,4.141863413688957,2.6796988296017465,1.5493693771256964,0.010389148200048819,Seq_10,0.016058341743159798,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Fail
Sterile feed _vs_ Control,5.669157727973154,4.6618643325191345,0.9180296320294927,0.3264253119926425,Seq_11,0.09641736743811745,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,-1.8862019000845835,4.32782542013327,-0.41613905863267303,0.3005186654698488,Seq_12,0.0018201520219205147,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,NA,Fail
Sterile feed _vs_ Control,4.945098147914965,3.573074725486862,1.2655419585891141,0.01564272201269862,Seq_13,0.061829568188166775,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Fail
Sterile feed _vs_ Control,1.176342002111459,1.3626639244895067,0.4627645840941338,0.3333337571830611,Seq_14,0.7931764507390647,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
Sterile feed _vs_ Control,6.928758830814585,5.613372178303181,0.9335519577339078,0.33160664253884775,Seq_15,0.3250710876777275,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,4.9617068078223,3.478561590854067,1.4226398212900078,0.005260450607949098,Seq_16,0.07566324926167074,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Fail
Sterile feed _vs_ Control,-0.33735716583365516,0.5913484565510383,-0.18241734808919938,0.34715063626832904,Seq_17,0.9375640529163014,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.40690134725471605,2.548339054819407,0.12515124485376172,0.3575133003109629,Seq_18,2.779177683346024,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,-2.4008410415992323,1.4885211320937088,-0.5614433806229282,0.3333337571830611,Seq_19,2.0565878110657927,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,NA,Fail
Sterile feed _vs_ Control,1.549145883370512,1.6960949523244118,0.7348015618247608,0.16145974640553556,Seq_21,0.011352030999835937,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA,Fail
Sterile feed _vs_ Control,7.231008820232965,5.002448330101615,1.1630889175532455,0.12435426095506012,Seq_22,0.3452767027950655,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,4.396933575689252,4.110526214027527,0.8795388178095269,0.22916753310245255,Seq_23,0.05192361534870739,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Fail
Sterile feed _vs_ Control,-3.4126437524939517,1.497251817819227,-1.5716142639323811,3.6539984880401186e-4,Seq_24,4.088278771419563,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,6.017922263241725,4.337906326830154,1.4700633022346155,0.06218036416243111,Seq_25,0.07025336628282464,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.0653718411277393,2.370266497474704,0.008914461224043928,0.481865325598072,Seq_27,1.056299549799483,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,NA,NA,Fail
Sterile feed _vs_ Control,-0.43137460514597414,1.3619485044115653,-0.27886367853363314,0.3802086206168476,Seq_28,0.31770186184262184,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,NA,Fail
Sterile feed _vs_ Control,3.6187365094845485,1.7861322998978837,0.7154076543297112,0.3333337571830611,Seq_29,1.3482768077844545,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,vadinHA21,NA,NA,Fail
Sterile feed _vs_ Control,-2.4558461957539444,0.7754857456457658,-0.870454711331642,0.3072921782887413,Seq_32,0.7916168958864687,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanimicrococcus,NA,Fail
Sterile feed _vs_ Control,-0.6469650856294171,1.1147799327950287,-0.5946775801585256,0.3125004932063641,Seq_33,1.38076683115246,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,1.1601391382208774,1.3957467451944248,0.6018359474281691,0.3333337571830611,Seq_35,0.6874245505704539,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Fail
Sterile feed _vs_ Control,5.474251013715705,3.8415097619869245,1.3498527470526565,3.6539984880401186e-4,Seq_36,0.1125139510868419,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,-1.8154764231387812,0.45262036231852765,-0.7794928622636073,0.33160664253884775,Seq_37,1.0813802662986103,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA,Fail
Sterile feed _vs_ Control,6.7732403526303955,2.5738201571422152,2.6502989846106004,3.6539984880401186e-4,Seq_39,0.07456258094080485,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,Fail
Sterile feed _vs_ Control,-3.4919446730856376,0.6049214772807368,-0.9894049238523086,0.2590680595179744,Seq_41,2.0705574507999804,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,3.0902238329065126,2.703969851695553,1.1644955123211715,0.06250421856082614,Seq_42,0.01401308964364582,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,5.401651421819585,3.3059643442576503,1.7970814542162974,3.6539984880401186e-4,Seq_43,0.47545844991746106,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,NA,Fail
Sterile feed _vs_ Control,0.222370089039845,0.7762494574473209,0.1790749920328749,0.4093266346210062,Seq_45,0.3978272850796243,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,NA,Fail
Sterile feed _vs_ Control,-0.36848466188528173,1.6574399559538109,-0.23410004113945712,0.3678759654424863,Seq_46,1.5108755667865712,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,NA,Fail
Sterile feed _vs_ Control,4.2022544170279765,4.352155646475234,0.7366630731593047,0.3056999938648578,Seq_49,0.03954542805958418,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,-1.4558558270407622,0.8122774237085895,-0.6415433621922783,0.3333337571830611,Seq_52,0.6711517908697806,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Fail
Sterile feed _vs_ Control,0.761860526366438,3.9229109029735376,0.16097317460123028,0.3333337571830611,Seq_54,0.5424754112670054,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,T2WK15B57,NA,Fail
Sterile feed _vs_ Control,5.113675440813967,4.9036939148121315,0.8774986469530246,0.2124361944531906,Seq_55,0.08845727552228017,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Ereboglobus,NA,Fail
Sterile feed _vs_ Control,-2.251718638290142,1.484310269041469,-1.3452789727259695,0.005233195823184881,Seq_56,0.5192409042046376,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Ereboglobus,NA,Fail
Sterile feed _vs_ Control,3.656058415295387,7.713753116181433,0.46017154664085747,0.3333337571830611,Seq_57,1.4321621402342546,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-3.6400168591104705,0.9685066814437864,-0.8713928861838793,0.3264253119926425,Seq_60,1.122063124121253,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Budviciaceae,Pragia,NA,Fail
Sterile feed _vs_ Control,3.472098219423402,4.975164991971311,0.6112480922090775,0.3333337571830611,Seq_62,0.04118894115792869,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA,Fail
Sterile feed _vs_ Control,-0.06096103219395399,3.0261580971195174,-0.009641997063205086,0.481865325598072,Seq_64,1.4465116634734032,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,5.38535035456786,6.788364524266445,0.5903421266405413,0.3333337571830611,Seq_66,1.6979074258402451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,NA,Fail
Sterile feed _vs_ Control,4.482328754934762,4.819661746403977,0.715497860166568,0.3281254405908101,Seq_67,0.0615615894895044,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,NA,Fail
Sterile feed _vs_ Control,5.786502072024442,4.301389024491629,1.1894676798489345,0.005233195823184881,Seq_69,0.12631767541244324,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,metallidurans,Fail
Sterile feed _vs_ Control,-1.0292687856945997,2.722881171282631,-0.4044436863221131,0.3333337571830611,Seq_70,0.7149791936010256,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,4.795763781105571,5.798985794412485,0.8239637786918387,0.23834277504790924,Seq_75,0.0434707986221775,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,5.9317870162957105,3.958094615088145,1.4273478038752028,3.6539984880401186e-4,Seq_76,0.09906866722331205,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Vitreoscilla,NA,Fail
Sterile feed _vs_ Control,5.835422646386062,4.179920451745542,1.3853478650082534,3.6539984880401186e-4,Seq_77,0.31099810079094986,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-0.4591399855007827,2.0535135597971403,-0.23896335106170047,0.35416702697949315,Seq_79,0.7970871737231595,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,1.3195720633137729,1.246765628262347,0.9077667187217531,0.08854454762975288,Seq_82,0.1920346091678644,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,1.5039288764832195,0.8108816783618238,1.8098155772472344,0.005233195823184881,Seq_84,0.19181231248944802,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,5.54116359814782,4.317335773885198,1.1348152240087392,0.06736136392791461,Seq_85,0.08518654980324164,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,NA,Fail
Sterile feed _vs_ Control,0.07117456571073255,0.8033438797894648,0.0714729082074191,0.4583334281811429,Seq_89,0.8987391838322795,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rs-E47_termite_group,NA,NA,Fail
Sterile feed _vs_ Control,0.6567170195435814,0.9137363593243624,0.5873719167243642,0.27083398913296086,Seq_91,0.05046720320084418,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,2.6538428809284023,4.4751444743486974,0.59321651707038,0.22916753310245255,Seq_93,0.008584714933617328,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,Fail
Sterile feed _vs_ Control,3.880039766316913,2.8463113342107533,1.3675591871996988,0.0466378252022128,Seq_96,0.011932851848863594,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-0.046905459338610456,0.7934811690726438,-0.04691141831226944,0.4739583923616796,Seq_97,0.42003359381324584,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,NA,Fail
Sterile feed _vs_ Control,0.5028484535826667,4.698753571123638,0.09887325622214758,0.4739583923616796,Seq_98,0.0015245064410397136,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA,Fail
Sterile feed _vs_ Control,-2.1012326672832327,1.328895401519385,-1.4801645177899543,0.06250421856082614,Seq_103,0.14706167873418352,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,NA,Fail
Sterile feed _vs_ Control,-2.0415178471155673,1.5132558055822383,-0.5092804416577686,0.3333337571830611,Seq_105,0.5353892196025161,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus_Symbiothrix,NA,Fail
Sterile feed _vs_ Control,4.263143947601101,4.904907045854451,0.7522697382344656,0.3125004932063641,Seq_107,0.05824404432317967,Bacteria,Rare,NA,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-0.21598372335827065,0.9114455831410666,-0.20041704534299148,0.39896396622826796,Seq_109,0.07200317842661981,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
Sterile feed _vs_ Control,6.012106874023105,3.9755559586323113,1.2890404640457402,0.005233195823184881,Seq_111,0.12010752057491775,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.20293994958474215,4.378829227881906,0.04116791097412316,0.47668399009963064,Seq_112,7.622532205198568e-4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-0.9068116875439705,5.36445070323046,-0.2735761559753212,0.4041453003463785,Seq_113,0.013881102078207924,Bacteria,Rare,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,Fail
Sterile feed _vs_ Control,-0.2534661929432023,1.40033578409344,-0.23132116804153544,0.43005197308151655,Seq_114,0.11537626006327012,Bacteria,Rare,NA,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.060611298969156735,4.1815387382744404,0.01241142052170651,0.4922279966661879,Seq_116,7.622532205198568e-4,Bacteria,Rare,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Fail
Sterile feed _vs_ Control,-2.813595297411176,1.7352644463402154,-1.1240598078059698,0.20725488253161325,Seq_121,0.8628462411159901,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,3.2592878477081397,5.819138841804073,0.5094693084794228,0.3333337571830611,Seq_122,0.08046117973456644,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,Fail
Sterile feed _vs_ Control,4.9079627031592485,4.266068982980618,1.1163166059717669,0.0155616731380917,Seq_124,0.06704415043170373,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-2.0488844060687597,2.699195541446773,-0.3224491894065429,0.3333337571830611,Seq_126,0.525223001581445,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA,Fail
Sterile feed _vs_ Control,2.736904774960661,1.9833392472870317,1.3462155096097543,0.041457228073882454,Seq_128,0.026013524868154284,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,6.289850997847691,4.405941925089756,1.307303678933868,0.005260450607949098,Seq_129,0.17817903757452513,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
