taxon,lfc_(Intercept),lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (1X),se_(Intercept),se_TreatmentSterile feed,se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (1X),W_(Intercept),W_TreatmentSterile feed,W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (1X),p_(Intercept),p_TreatmentSterile feed,p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (1X),q_(Intercept),q_TreatmentSterile feed,q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (1X),diff_(Intercept),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (1X),passed_ss_(Intercept),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (1X)
Seq_3,-1.488991456602916,1.5696377804353234,2.596425040789011,2.3313302724378233,0.8174583366677898,0.8432191149343514,1.06054170204819,0.9359198663869077,-1.821489108145255,1.861482683012383,2.448206455035779,2.4909507279056466,0.10601010985785722,0.0997032983275886,0.040048598310957854,0.03746667682818061,0.42096768262395473,0.3568620644609732,0.32598809602953654,0.27414412119340026,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Seq_4,0.16741478370152202,1.12655470718349,-1.3722115791620426,0.11742500442295853,1.018024057401113,1.0405169036810018,1.2239618715552723,1.1193393402206846,0.1644507145822377,1.082687559613991,-1.1211228152216797,0.10490563513992769,0.8734554893710391,0.3104979236396777,0.2947584134259995,0.9190332254728298,0.9497095400304155,0.6752097704545372,0.602714964766596,0.9836527491388882,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_5,0.4522881454126532,-0.19136783240940516,-0.6065350883027003,-0.4698223936880109,0.64413445835052,0.676640834326429,1.1277106322612693,0.8959606671684668,0.702164182569675,-0.2828204014614412,-0.5378463862546766,-0.5243783693907074,0.5024911748139638,0.7844944349770622,0.6053181486860617,0.6142302876716825,0.7676411665140845,0.9342935487409759,0.8383695448980462,0.8655962530009599,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_6,-2.5212058050708164,3.5749411803201974,2.773054734373637,3.494636959345328,1.0981148070258027,1.1465851346507234,1.6107730441862678,1.797792145014356,-2.2959400865373953,3.117902955727058,1.7215676313819444,1.943849275922508,0.055321086841824164,0.01689321790912861,0.12882255493611103,0.09300629720208059,0.2859995810313174,0.13756164664328568,0.4742501110428833,0.447082902339826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Seq_8,0.16480840559700802,1.2377608246254699,-0.6929370876725924,-0.6591881364171934,0.5413277693148445,0.6611855928164673,1.4063628025016113,1.773424553330832,0.30445215438625123,1.8720323583473015,-0.49271573909663224,-0.3717035129456799,0.7696352098116144,0.1033687953515955,0.6372911366529576,0.7211098023703439,0.9168697716886188,0.36311602469663035,0.8437759570145693,0.9009311745916024,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_9,-1.0348303174012163,1.3271723644005338,1.617604259770819,1.7359719126840076,0.4332510804091809,0.4783136898983338,0.7859286321015677,0.7226317191550898,-2.3885233394545216,2.7746903181521443,2.0582075696178115,2.402291328581214,0.04395702044100812,0.024121409415993257,0.07356452467480128,0.04302261755954822,0.250338440426794,0.17714767090292263,0.37934167451584966,0.27414412119340026,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Seq_14,-1.456368011472671,1.289533065635718,3.0201278097757807,2.0572384377296773,0.7229224600111718,0.751749055350285,0.8489200260331708,0.9310024646883858,-2.014556321088938,1.7153770350065118,3.5576116915137677,2.209702461333711,0.07872023284484204,0.12461612793204624,0.0074265331542121395,0.05810797403918217,0.3535957999915856,0.3755925152337736,0.19947711431977075,0.34612141058121554,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Seq_17,-1.408032780937967,1.3677788839509841,2.529986550161191,2.275792956890186,0.75091689913642,0.7786829971697208,0.95235188479940025,0.930352601428096,-1.8750846898734768,1.7565285089342522,2.6565669586448055,2.4461617599572807,0.09764079479949864,0.11706391992176608,0.028959270786258193,0.04017651795226584,0.4010633026764256,0.36703441693372985,0.3051861613628748,0.27414412119340026,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Seq_18,-0.5854216824720859,0.8419180678609592,1.3746771687824,0.6665187604954799,1.1588705887612558,1.1803579164094387,1.2509517006207698,1.4252683762880016,-0.5051657088802789,0.7132735386076892,1.0989050721144813,0.4676443900561206,0.6270624621031762,0.49595367334297735,0.30377730619477894,0.6525133874064021,0.8096491479438584,0.8011575366106453,0.6116841203452759,0.8764150399478144,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_19,1.196494409268409,0.33153619109993376,-3.0720874423887774,-1.503999118534295,1.0569271893979566,1.090402937175322,1.3231271829217486,1.6926100309954588,1.1320499853447354,0.30404924619771745,-2.3218383554065825,-0.8885680050293463,0.29040201805593946,0.7688485762116087,0.04877924064675547,0.40016277664519395,0.6216418199009954,0.9342935487409759,0.32598809602953654,0.6944957248493454,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
