taxon,lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (1X),lfc_TreatmentAntibiotics (2X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (1X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),se_TreatmentSterile feed,se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (1X),se_TreatmentAntibiotics (2X)_TreatmentSterile feed,se_TreatmentAntibiotics (1X)_TreatmentSterile feed,se_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),W_TreatmentSterile feed,W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (1X),W_TreatmentAntibiotics (2X)_TreatmentSterile feed,W_TreatmentAntibiotics (1X)_TreatmentSterile feed,W_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),p_TreatmentSterile feed,p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (1X),p_TreatmentAntibiotics (2X)_TreatmentSterile feed,p_TreatmentAntibiotics (1X)_TreatmentSterile feed,p_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),q_TreatmentSterile feed,q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (1X),q_TreatmentAntibiotics (2X)_TreatmentSterile feed,q_TreatmentAntibiotics (1X)_TreatmentSterile feed,q_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (1X),diff_TreatmentAntibiotics (2X)_TreatmentSterile feed,diff_TreatmentAntibiotics (1X)_TreatmentSterile feed,diff_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (1X),passed_ss_TreatmentAntibiotics (2X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (1X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (1X)_TreatmentAntibiotics (2X)
Seq_3,1.5696377804353234,2.596425040789011,2.3313302724378233,1.0267872603536874,0.7616924920024999,-0.2650947683511875,0.8432191149343514,1.06054170204819,0.9359198663869077,0.8072673262926966,0.6347265794136673,0.9036636855638143,1.861482683012383,2.448206455035779,2.4909507279056466,1.2719296655658252,1.200032449729958,-0.29335556201507584,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Seq_4,1.12655470718349,-1.3722115791620426,0.11742500442295853,-2.498766286345533,-1.0091297027605315,1.4896365835850012,1.0405169036810018,1.2239618715552723,1.1193393402206846,0.8205251917396901,0.6542931191935671,0.9184262202263364,1.082687559613991,-1.1211228152216797,0.10490563513992769,-3.0453254957932616,-1.5423205183699769,1.6219447471979798,0.3104979236396777,0.2947584134259995,0.9190332254728298,0.01593379952463655,0.1615683036874068,0.14347258997689213,1,1,1,0.35398873538516884,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Seq_5,-0.19136783240940516,-0.6065350883027003,-0.4698223936880109,-0.4151672558932952,-0.2784545612786057,0.13671269461468943,0.676640834326429,1.1277106322612693,0.8959606671684668,1.0202008327467555,0.7561904430333837,1.1771628763990871,-0.2828204014614412,-0.5378463862546766,-0.5243783693907074,-0.4069465957751792,-0.36823337803849066,0.1161374499278216,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Seq_6,3.5749411803201974,2.773054734373637,3.494636959345328,-0.8018864459465602,-0.08030422097486944,0.7215822249716908,1.1465851346507234,1.6107730441862678,1.797792145014356,1.247703984073234,1.4812940385590034,1.8639110379912243,3.117902955727058,1.7215676313819444,1.943849275922508,-0.6426896573085668,-0.054212208301998605,0.3871334040434435,0.01689321790912861,0.12882255493611103,0.09300629720208059,0.5408964396277107,0.9582808793826515,0.7101582271542851,0.3753033816568573,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Seq_8,1.2377608246254699,-0.6929370876725924,-0.6591881364171934,-1.9306979122980623,-1.8969489610426633,0.03374895125539901,0.6611855928164673,1.4063628025016113,1.773424553330832,1.3608724348902614,1.7375707462260703,2.135378664839739,1.8720323583473015,-0.49271573909663224,-0.3717035129456799,-1.4187207138586437,-1.091724734180036,0.01580466818887688,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Seq_9,1.3271723644005338,1.617604259770819,1.7359719126840076,0.29043189537028513,0.40879954828347387,0.11836765291318874,0.4783136898983338,0.7859286321015677,0.7226317191550898,0.7730317536073138,0.7085837133728081,0.9439230411797777,2.7746903181521443,2.0582075696178115,2.402291328581214,0.3757050004931871,0.5769248439787263,0.1253996859375792,0.024121409415993257,0.07356452467480128,0.04302261755954822,0.7169028943202129,0.5798578447569855,0.9033011561836375,0.53588644702558,1,0.9127771563309556,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Seq_14,1.289533065635718,3.0201278097757807,2.0572384377296773,1.7305947441400626,0.7677053720939593,-0.9628893720461034,0.751749055350285,0.8489200260331708,0.9310024646883858,0.6219341012171894,0.7300016471984996,0.8297234318088387,1.7153770350065118,3.5576116915137677,2.209702461333711,2.782601469758789,1.0516488216706823,-1.1604943709338862,0.12461612793204624,0.0074265331542121395,0.05810797403918217,0.023828720953077684,0.32368677265718293,0.2793048559369035,1,0.1649894662908751,1,0.5055552958963779,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Seq_17,1.3677788839509841,2.529986550161191,2.275792956890186,1.1622076662102068,0.9080140729392017,-0.2541935932710051,0.7786829971697208,0.95235188479940025,0.930352601428096,0.7305070755027006,0.7015856596756831,0.8904208781594888,1.7565285089342522,2.6565669586448055,2.4461617599572807,1.590960177094014,1.2942312323757341,-0.2854757783717139,0.11706391992176608,0.028959270786258193,0.04017651795226584,0.15028287809926663,0.23169355609307238,0.782531508992652,1,0.6433654212514658,0.8523936916899645,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Seq_18,0.8419180678609592,1.3746771687824,0.6665187604954799,0.5327591009214407,-0.17539930736547937,-0.7081584082869201,1.1803579164094387,1.2509517006207698,1.4252683762880016,0.6680983599477212,0.9554397970178319,1.0413935625790292,0.7132735386076892,1.0989050721144813,0.4676443900561206,0.7974261468971863,-0.18357965401163398,-0.6800103570192556,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Seq_19,0.33153619109993376,-3.0720874423887774,-1.503999118534295,-3.4036236334887113,-1.8355353096342286,1.5680883238544825,1.090402937175322,1.3231271829217486,1.6926100309954588,0.9344405130789636,1.4097667350747365,1.5965992684794632,0.30404924619771745,-2.3218383554065825,-0.8885680050293463,-3.642418737040667,-1.3020134919958377,0.9821427046924972,0.7688485762116087,0.04877924064675547,0.40016277664519395,0.006565949394813257,0.22914706716822325,0.35479509113212915,1,1,1,0.14587055141990535,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
