Comparison,diff.btw,diff.win,effect,overlap,OTU,baseMean,Kingdom,Phylum,Class,Order,Family,Genus,Species,Significance
Sterile feed _vs_ Control,2.787483256954701,1.3179331386310906,1.9490648171926392,3.6539984880401186e-4,Seq_2,0.14159674909928988,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,6.403848092934092,5.892416037826028,0.907450631161512,0.18229287116029563,Seq_3,0.038727423824926714,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,NA,Fail
Sterile feed _vs_ Control,1.8004866420908008,2.459781563399142,0.7195625910258212,0.2538867370173688,Seq_4,2.238964095036799,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,Fail
Sterile feed _vs_ Control,2.449694227403489,5.852683661629791,0.4431720098744325,0.3593753451929687,Seq_6,0.014755507653617666,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,2.8919822546461758,7.518485052015589,0.43510275869210846,0.3229171243820439,Seq_7,0.19551094452600262,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus_Symbiothrix,NA,Fail
Sterile feed _vs_ Control,-0.8257476565455226,2.1679922100301674,-0.5062829548225034,0.2746120317825454,Seq_10,0.2895402846717144,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Fail
Sterile feed _vs_ Control,1.6254286458966636,5.896338523006151,0.289072237656357,0.34895870905425247,Seq_11,0.11763243590444,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,0.7627525716242705,1.517401425225482,0.638724619074567,0.22798013900535738,Seq_12,0.19897504948929953,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,NA,Fail
Sterile feed _vs_ Control,0.8918118296189403,6.253100785169918,0.1639353734836292,0.42708350174596327,Seq_15,0.03287724175461976,Bacteria,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-1.2130835759445198,1.2117851880547503,-0.9690982587005078,0.13989804680407464,Seq_16,0.06271243693216665,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Fail
Sterile feed _vs_ Control,1.5656192124778228,3.5880599243758446,0.3834391224919047,0.3264253119926425,Seq_20,0.002262115135077843,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,NA,Fail
Sterile feed _vs_ Control,6.756924757757506,2.82102922184779,2.3786405680468503,0.005260450607949098,Seq_21,0.027469283123487453,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA,Fail
Sterile feed _vs_ Control,1.3616844603543328,2.697973168291896,0.46657786885308633,0.18750115922376948,Seq_23,0.04344300392363402,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Fail
Sterile feed _vs_ Control,0.7044729166215791,1.4086741680841732,0.4615617942710444,0.3333337571830611,Seq_26,0.7032005516575427,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,NA,Fail
Sterile feed _vs_ Control,-0.41132833208563735,4.09973302058241,-0.07890796838694533,0.4375001435262812,Seq_30,0.0017457198452385354,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,parva,Fail
Sterile feed _vs_ Control,-1.9399750297322687,0.8043511241163106,-2.4390860762368947,3.6539984880401186e-4,Seq_34,0.1653857172860769,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.7482078190694592,7.705013679759252,-0.23104227227872776,0.45312510690235347,Seq_38,0.06054221308803307,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,NA,Fail
Sterile feed _vs_ Control,0.20471414988013104,1.9651797174887835,0.11296285213884756,0.35416702697949315,Seq_40,1.9908927479925713,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,NA,Fail
Sterile feed _vs_ Control,2.3428514645044034,6.0111383423640135,0.3897160232393249,0.3626946327483506,Seq_42,0.01411396384259081,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
