taxon,lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (5X),lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (5X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),se_TreatmentSterile feed,se_TreatmentAntibiotics (5X),se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (5X)_TreatmentSterile feed,se_TreatmentAntibiotics (2X)_TreatmentSterile feed,se_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),W_TreatmentSterile feed,W_TreatmentAntibiotics (5X),W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (5X)_TreatmentSterile feed,W_TreatmentAntibiotics (2X)_TreatmentSterile feed,W_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),p_TreatmentSterile feed,p_TreatmentAntibiotics (5X),p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (5X)_TreatmentSterile feed,p_TreatmentAntibiotics (2X)_TreatmentSterile feed,p_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),q_TreatmentSterile feed,q_TreatmentAntibiotics (5X),q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (5X)_TreatmentSterile feed,q_TreatmentAntibiotics (2X)_TreatmentSterile feed,q_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (5X),diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (5X)_TreatmentSterile feed,diff_TreatmentAntibiotics (2X)_TreatmentSterile feed,diff_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (5X),passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (5X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X)
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,0.8102126114291313,0.8374185949567676,1.1529744787057938,0.027205983527636368,0.3427618672766626,0.3155558837490262,0.4097129850235512,0.3523204353989939,0.4490484416778968,0.5400826554457591,0.6076216655839005,0.5704989461776259,1.977512651649443,2.3768663716835285,2.5675948777321986,0.05037374048826252,0.5641040909021602,0.5531226409150585,0.08336900640530583,0.044764082659844925,0.0332517377731229,0.9610595740850533,0.5881444444260698,0.5952940142103238,1,0.8072970769344447,0.6329296293366843,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Klebsiella,0.8655489791534302,1.1167977654067143,0.4130145894673275,0.25124878625328406,-0.4525343896861027,-0.7037831759393868,0.6213746754471636,0.560172853019759,0.6513701628578951,0.4085939337697293,0.5267242794049332,0.4529079426195519,1.3929582478245512,1.9936663467112379,0.6340704763866073,0.6149107108253838,-0.8591485287090876,-1.5539210283414548,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter,-0.9709622406547593,-0.20956143928056362,0.2695048210512593,0.7614008013741957,1.2404670617060187,0.47906626033182287,0.6494385702793374,0.5677268054600886,0.5766756732247195,0.4556257077313562,0.4667289277481794,0.34406272839180546,-1.4950794195009511,-0.36912373568609996,0.4673421015736837,1.671110274188324,2.657789110460504,1.3923805771437137,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Dysgonomonadaceae_Dysgonomonas,2.337815367465257,1.987810865812097,1.3446163692841586,-0.3500045016531599,-0.9931989981810982,-0.6431944965279384,1.1493253547179003,0.7244368597251416,0.6283924233670348,1.0542748591148012,0.9907389931653059,0.4306085755174912,2.0340762151193204,2.7439394325770388,2.1397717720393135,-0.3319860078490665,-1.002483000096658,-1.493687151387936,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas,1.4946972892027874,2.644070993461899,2.2468217138546707,1.1493737042591117,0.7521244246518832,-0.39724927960722844,1.168392629531,1.1768719260396592,1.241971269959781,0.37628843335137513,0.5468620394388756,0.5647515238909768,1.2792765474759695,2.2466939137205633,1.8090770440506487,3.054501819315386,1.3753458283987372,-0.703405414243585,0.2366543876593263,0.054849544854136914,0.10804305263242868,0.01571322759103953,0.20630369776158516,0.5017580511928392,1,0.9891831709901244,1,0.29909315966392486,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium,0.03636675404073116,0.19212135622512577,0.33392823954115824,0.1557546021843946,0.2975614855004271,0.14180688331603247,0.22361027462419977,0.19749528447926368,0.2053048655230796,0.23862788599871618,0.24513051297649743,0.221566696202647,0.16263453949890835,0.9727895870106096,1.6264993948894955,0.6527091397240663,1.2138900289779782,0.6400189457459553,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Beijerinckiaceae_Microvirga,0.14997811629759403,-0.09135864612264047,0.21960479863995583,-0.2413367624202345,0.0696266823423618,0.3109634447625963,0.16117098235305458,0.15200076258409365,0.2185631556889584,0.22008260758659817,0.27037376973494753,0.2650096632845373,0.93055284585322,-0.6010407090694481,1.004765867090974,-1.0965735323963446,0.2575201078515055,1.1734041729214948,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Buttiauxella,0.5032705426105019,1.3841562710376738,0.7743992743876293,0.8808857284271719,0.2711287317771275,-0.6097569966500445,0.5958877699232161,0.7171447485835439,0.6079671072986955,0.522745327480664,0.3585946047266407,0.5364740875531148,0.8445726997809527,1.9300932953515537,1.2737519268573938,1.6851144948010182,0.7560870358989671,-1.1366010228586747,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_Chitinophaga,-1.6970428639450335,-0.3401035893233421,-0.10576903888758507,1.3569392746216913,1.5912738250574483,0.23433455043575704,0.48735893782007206,0.3745827834766363,0.5322958131515596,0.5609176119051988,0.6765021347837765,0.6003737717214193,-3.4821211477844374,-0.9079530729274834,-0.1987034958275534,2.419141859377075,2.3522081354052946,0.39031443656151443,0.00829376166473793,0.39043356139630403,0.8474515930186931,0.041906160001939446,0.046520626968252134,0.706491206545943,0.15786746341156335,1,1,0.7557559200349769,0.7924548180109157,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Streptomycetales_Streptomycetaceae_NA,-1.1677341359187003,-0.16321593338569151,-0.31006476364924795,1.0045182025330088,0.8576693722694524,-0.14684883026355644,0.46825714592574585,0.5867876574344713,0.3866648298303235,0.7286878826958832,0.5798068351598556,0.6791398724158355,-2.493788180445354,-0.2781516129689869,-0.8018954394825895,1.3785301311950633,1.4792329449393067,-0.21622766712427877,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
