Comparison,diff.btw,diff.win,effect,overlap,OTU,baseMean,Kingdom,Phylum,Class,Order,Family,Genus,Species,Significance
Sterile feed _vs_ Control,7.936230794845432,4.3376683426152285,0.7801417013492793,0.3264253119926425,Seq_2,0.9062788423399064,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-5.5928371000780945,3.0609763142566706,-1.7114417165381592,3.6539984880401186e-4,Seq_3,5.392779523611667,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,NA,Fail
Sterile feed _vs_ Control,3.2521421662633827,0.9624132848264075,1.692666783142582,0.005233195823184881,Seq_4,4.25585312266223,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,Fail
Sterile feed _vs_ Control,-8.948894351692246,6.186362290062199,-1.6935525372834066,3.6539984880401186e-4,Seq_5,0.879808276284649,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,4.161635630279701,3.9283893327955397,1.0896271157159434,0.01564272201269862,Seq_6,4.662013734251532,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,4.827840379967085,13.623440831712163,0.30539260915977817,0.3160626520705316,Seq_7,7.702317869795296,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus_Symbiothrix,NA,Fail
Sterile feed _vs_ Control,3.42296463057483,4.107250751311781,0.9279601475189239,0.22798013900535738,Seq_8,5.540237115907027,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,phenylacetica,Fail
Sterile feed _vs_ Control,-5.888275807456255,3.7281779149164924,-1.501914539855505,3.6539984880401186e-4,Seq_9,1.2731539229239797,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA,NA,Fail
Sterile feed _vs_ Control,3.3432130678061958,7.246081385919127,0.6081925220740553,0.23437583654274616,Seq_10,4.593354858698113,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Fail
Sterile feed _vs_ Control,0.051098534259089945,8.171066578523892,0.0049067381828941225,0.48704666112277173,Seq_11,6.5708265429308534,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,-0.04872207379107518,10.609233293744605,-0.005919937702371382,0.48704666112277173,Seq_12,5.448532460062736,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,NA,Fail
Sterile feed _vs_ Control,3.5038804268791433,4.904070101802601,0.856413985366453,0.09896087489275612,Seq_13,3.5228400959043444,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Fail
Sterile feed _vs_ Control,-7.954373048147629,5.08815381719473,-1.2191660377783355,0.010443256861835112,Seq_14,1.6316924315627557,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
