taxon,lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (5X),lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (5X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X)_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),se_TreatmentSterile feed,se_TreatmentAntibiotics (5X),se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (5X)_TreatmentSterile feed,se_TreatmentAntibiotics (2X)_TreatmentSterile feed,se_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),W_TreatmentSterile feed,W_TreatmentAntibiotics (5X),W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (5X)_TreatmentSterile feed,W_TreatmentAntibiotics (2X)_TreatmentSterile feed,W_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),p_TreatmentSterile feed,p_TreatmentAntibiotics (5X),p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (5X)_TreatmentSterile feed,p_TreatmentAntibiotics (2X)_TreatmentSterile feed,p_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),q_TreatmentSterile feed,q_TreatmentAntibiotics (5X),q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (5X)_TreatmentSterile feed,q_TreatmentAntibiotics (2X)_TreatmentSterile feed,q_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (5X),diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (5X)_TreatmentSterile feed,diff_TreatmentAntibiotics (2X)_TreatmentSterile feed,diff_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (5X),passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (5X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X)_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X)_TreatmentAntibiotics (5X)
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,2.6522002759517362,3.7913366182565116,3.0333297996392043,1.1391363423047753,0.3811295236874681,-0.7580068186173072,1.06816218034136,1.325224809770876,1.0471913303413414,1.3896035482515334,1.1275579396301836,1.3735491473346386,2.4829565442058192,2.860900724392575,2.896633797235949,0.8197563569394248,0.3380132499554488,-0.5518599899306214,0.03793642097443342,0.021122151434442665,0.019994652810221496,0.4360954757781831,0.7440523296044647,0.5961191110159099,0.3287823151117563,0.2132762966423626,0.2132762966423626,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Citrobacter,-3.442617742051354,-5.059951908605262,-4.815901458395075,-1.617334166553908,-1.373283716343721,0.244050450210187,1.1537530380144552,0.9638273015148149,1.009471365039274,1.2063486416133966,1.2431196301287388,1.0691882010334564,-2.9838428403845487,-5.249853267958592,-4.770716263167812,-1.3406855288458324,-1.104707610643637,0.2282577098908243,0.030663893316766958,0.00332662764753459,0.005011626819887065,0.23770778840135942,0.3195899654183358,0.8284871913116117,0.26575374207864694,0.03548402824036896,0.04844572592557496,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Klebsiella,1.3169882297635598,-1.689373976691767,0.35559841564661465,-3.006362206455327,-0.9613898141169451,2.044972392338382,0.5724345093809762,0.9286241995921376,0.8725169974370067,1.0569059443844202,1.007964871423342,1.2452529134924255,2.300679305983378,-1.8192224340414125,0.4075547143392904,-2.844493611213758,-0.9537929757009999,1.6422145013120828,0.0504173415691796,0.10637864349556952,0.6942887921657477,0.02166171576436382,0.3681151032920373,0.13917143814929575,0.48736763516873605,0.9219482436282691,1,0.2310583014865474,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides,-3.698266957976445,-2.765375949708712,-2.3772552493060526,0.9328910082677333,1.3210117086703925,0.3881207004026592,1.6318515783144563,1.2614966484765648,1.1810068856824274,1.5721272848750514,1.5083062254596382,1.0970058752032859,-2.2663010577202094,-2.1921389589487164,-2.0129054945622866,0.5933940700875737,0.8758246080087816,0.3538000198319236,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Dysgonomonadaceae_Candidatus_Symbiothrix,1.73332902573278,-0.6270551190949094,1.1768271083220199,-2.360384144827689,-0.5565019174107602,1.8038822274169293,2.271460615669249,2.096749862957182,1.9580951615835411,2.2784053241846594,2.151489599156574,1.9661470327911283,0.7630900636250224,-0.2990605270437614,0.6010060856134806,-1.035980788744148,-0.25865889271736187,0.9174706658922405,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Rhodocyclaceae_Thauera,1.8135137558643006,-2.205172091219429,1.3348969492434075,-4.01868584708373,-0.4786168066208931,3.5400690404628365,0.9087011038853712,1.299501650185583,1.007947745888659,1.4039261876902116,1.1394133841979155,1.47011213950566,1.9957208680722234,-1.6969367379445086,1.3243711836137826,-2.8624623447586033,-0.420055454200069,2.4080265343929614,0.08105171677302354,0.12814552384282557,0.22196341379813217,0.021071526231345367,0.6854996444892043,0.04263930080657122,0.7024482120328707,0.9824490161283292,1,0.2247629464676839,1,0.4121799077968551,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA,-2.856808230593018,-5.005873898652378,-5.332039713340307,-2.1490656680593596,-2.4752314827472888,-0.32616581468792916,1.444014365986026,0.8027079419531847,0.8115157570496864,1.483759396163003,1.4885428208712062,0.8802967002482188,-1.9783793692677596,-6.236233176504847,-6.570469725351056,-1.4483922889498368,-1.6628554100301924,-0.3705180476036768,0.095237616244906,7.868775912788339e-4,5.958331378951523e-4,0.19767270949132634,0.14740185491522123,0.7237250846844856,0.8253926741225186,0.00760648338236206,0.0063555534708816235,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter,1.0815872909248319,1.396354388035601,0.5092860672824984,0.3147670971107692,-0.5723012236423335,-0.8870683207531027,1.9865848151694854,1.5991185800244883,2.039590137409895,1.8274432661613513,2.2231276586554016,1.8849290681073945,0.5444455644007106,0.8732025288670074,0.2497002010066827,0.17224452487214853,-0.25743066144410004,-0.47061098253622013,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Dysgonomonadaceae_Dysgonomonas,0.26287660819669473,-1.831650734563213,-0.13725514571332612,-2.094527342759908,-0.40013175391002087,1.6943955888498867,0.8254141446791113,1.0293549141590659,0.9040764598877148,0.9646354124351264,0.8296409976270285,1.0327474105562506,0.31847843884343763,-1.7794161269046689,-0.1518180726997062,-2.1713150022892913,-0.4822950590128662,1.6406679615272666,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas,-1.658337069896606,-1.7589890453044978,0.6619777074119179,-0.10065197540789184,2.320314777308524,2.420966752716416,3.0234888340779844,2.5533321674329343,2.6269701180123866,2.0787308746376696,2.16854534028093,1.4424317385261827,-0.5484846020284104,-0.6888994184696885,0.25199285780714636,-0.048419916515376644,1.0699867483554355,1.6783925977599883,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
