Comparison	Species	Day	Replicate	ASV	baseMean	log2FoldChange	lfcSE	pvalue	padj	Significance	ASV_count
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_2	62263.948380865986	1.025574560695771	0.4425789239946576	0.004144068519743037	0.020409537459734454	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_7	36287.134572845665	1.4005535873179875	0.5517144807219421	0.0016991607214387986	0.009234059644784643	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_26	36169.01388373132	3.998269019196494	0.5417982033824571	6.7343709257429315e-15	1.6080861483289182e-13	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_38	33638.79457159208	8.735404248832792	0.5613687183524395	1.6712222191119294e-56	1.3169231086602005e-53	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_52	23890.912625996294	6.248860099469619	0.590249698853616	1.3221394371219613e-27	1.302307345565132e-25	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_19	22251.476765614203	3.3829227980235133	0.536190761962472	1.3807903323688724e-11	2.1761255638133428e-10	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_32	15124.3026293165	0.7806412379808302	0.4266788223117872	0.02211467360614583	0.09123750157928226	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_223	12876.636942519895	10.66337719004029	1.2709452070994336	3.5224564714328346e-17	9.913198926746691e-16	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_143	12702.15869029992	5.265976917451673	0.674721773887985	2.1490416552732878e-16	5.644816081184502e-15	Pass	8
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_30	10777.628598133682	2.5948342721395683	0.7325657228810449	2.5379663973996646e-5	1.9229976164912842e-4	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_54	10285.119655589982	10.117558914628738	1.8208005474138547	1.6708217071841332e-10	2.4841651042662206e-9	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_225	10114.937909927552	6.9833597793341395	0.7541816685837156	5.851528109460348e-22	3.29357439303911e-20	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_310	8454.92396427173	8.55164147543961	1.2816923215718392	3.950628326804916e-13	7.4121312417197e-12	Pass	3
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_268	8219.791296462876	6.912395602911323	0.8502874276029229	1.791931861271299e-17	5.229786321043643e-16	Pass	10
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_118	7232.275737015815	5.987930900020229	0.62359262053884	2.4914729417779155e-23	1.636067231767498e-21	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_28	6870.114730111636	2.1063431148617773	0.3735685142072592	1.4089691531815547e-9	1.8201109716509263e-8	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_50	6666.84356491192	2.6676878185878934	0.5592114184047867	1.0320645160477123e-7	1.0426497931353811e-6	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_197	6277.284428343313	6.1044376527274125	0.4414242810559592	6.76022887442184e-45	1.7756867843481368e-42	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_58	5709.798980681469	2.4070813640175204	0.2780274860320674	5.225643446475756e-19	2.058903517911448e-17	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_42	5468.640095515831	0.6336556103048762	0.254911827510991	0.005486537297406513	0.026362142624123976	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_109	5021.077646620908	3.3946821501242996	0.37699539976504637	7.652941511235125e-21	3.769073694283299e-19	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_350	4920.478289892096	4.14092387734673	0.58516669867259	5.4556008563240125e-14	1.1313193354692951e-12	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_62	4854.879011533146	3.0970261927902314	0.747754096867793	1.5616133260165039e-6	1.3826419111247246e-5	Pass	12
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_129	4818.919874509605	4.848306315672043	0.49838305498592533	1.2800611447630741e-23	1.0086881820733024e-21	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_212	4545.879744129752	6.7422250064275095	1.0968586855480207	2.0010366781341347e-11	3.091797847783722e-10	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_132	4221.08553218522	5.400442292059244	0.6424431410809961	1.4233334271985764e-18	5.0981215483294464e-17	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_97	4158.226965665746	1.2658515574510714	0.5825958033281418	0.005220138431550044	0.02539178446951503	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_175	4080.1432077495315	1.8071500026102592	0.3332841895922257	7.3356553476734756e-9	8.893071406102613e-8	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_168	4061.5970951085965	8.147495818226744	1.5278527237842177	4.968860866672258e-9	6.215019623710698e-8	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_386	3870.6863059271	7.926422014276347	0.9594017083542448	3.9616962611436305e-17	1.0764885013038555e-15	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_135	3863.8900641593214	5.051646039362156	0.39523584552670404	7.279286647826318e-39	9.560129797478565e-37	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_239	3670.3852699850722	1.7101126635177324	0.3293868009446763	3.3343071152620305e-8	3.599224666885589e-7	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_244	3525.8811171115167	2.200605878030262	0.5941994081890931	1.649912336741569e-5	1.3480536287613137e-4	Pass	3
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_145	3520.597426341157	2.239285850843159	0.2933175668410055	1.4410777141604307e-15	3.6631265766400625e-14	Pass	3
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_95	3353.3112170257164	6.256855640502943	0.46101230289785605	8.234578049427465e-43	1.6222118757372106e-40	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_324	3097.186643666275	5.6237135069013515	1.8482782279268812	3.0188653556637682e-5	2.2442131134557067e-4	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_83	2973.4792490441055	17.117858417787446	3.6109177877689316	1.8792983943744415e-40	2.96177426953412e-38	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_807	2939.131481810334	5.810268646622125	1.9231485566730633	2.9861388514650286e-5	2.2410261094804213e-4	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_104	2850.567482663178	1.0105210969275533	1.986366421191519	0.0023216258302395008	0.012196274361524843	Pass	8
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_474	2629.750528606779	6.730060167063691	0.782745175095241	2.649154310217761e-19	1.159740886917553e-17	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_246	2573.2373986107013	2.8644790770152424	0.5091010724166869	1.2224371566264288e-9	1.6054674657027098e-8	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_146	2421.8910619284015	3.0662345552509978	0.41557705220146324	1.1619828745921497e-14	2.6161214433674687e-13	Pass	3
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_154	2419.8452509348554	2.2570857385523557	0.3110693753379884	3.5894102985138793e-14	7.85682032008038e-13	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_208	2405.24650378375	1.275921445870373	0.4025830774510124	3.0873126960568887e-4	0.0019619374229780874	Pass	3
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_198	2295.970832557045	2.8368455731598603	0.3318373945669874	7.520967835003586e-19	2.8221536447537266e-17	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_250	2190.007267805633	2.422098526837049	0.5773025341251637	1.998779129736834e-6	1.7308109387171705e-5	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_48	2146.951253144734	3.948090295086426	0.7955301169340178	2.9764709829637602e-8	3.330183710174854e-7	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_383	1975.8690414501398	3.215406048675124	0.3816063205636773	2.3124796828244276e-18	7.922756478546299e-17	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_256	1951.3942615449262	5.333249931307562	0.7189189295073843	8.6995687060359e-15	2.016252982457732e-13	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_94	1918.5731654709846	2.6163606139978053	0.7285974163849297	1.853175472844329e-5	1.4603022726013314e-4	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_160	1885.6045907245798	1.0167449609200856	0.3042328157979983	2.4538620956181994e-4	0.0016113694427892843	Pass	3
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_264	1856.4170583884443	3.8227887290249067	0.5381698989650172	7.031854467791296e-14	1.420795210415267e-12	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_139	1806.1263302059335	8.017200142645288	0.5643383420939804	1.8995847787221777e-49	7.48436402816538e-47	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_668	1647.077060858572	15.995099726165193	3.762849132443048	1.7317529271615613e-21	9.097475377355402e-20	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_376	1644.0395602272813	2.7874263763500715	0.5168059943226827	4.3472460054188005e-9	5.525209439145185e-8	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_320	1639.8913526342596	2.6465378692696526	0.34840140853429047	3.4639054898704635e-15	8.529867268806016e-14	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_335	1532.797064801621	2.567821444543558	0.5859639412261569	7.072562101695195e-7	6.405952800156108e-6	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_379	1492.0675208911064	2.6085696272808145	0.8844594779454843	1.7489632662831173e-4	0.001177934234043672	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_611	1484.9381590953503	6.008427123077216	0.5179037988552042	8.276451565162486e-33	9.31691976192577e-31	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_418	1355.3955239956933	3.457127877563579	0.40077576878427634	4.512803530355614e-19	1.8716258852211704e-17	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_169	1271.3878630193167	1.1148698322756916	0.5106644173925584	0.006552700222454912	0.030919327995775275	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_545	1231.627365753664	6.763377237920326	0.9504972655776454	4.283652002337274e-14	9.12302102119398e-13	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_411	1203.0001860524349	1.9149342980059623	0.5136860570366405	1.940523249838072e-5	1.513992396903367e-4	Pass	3
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_402	1193.2264418664797	7.98361796854396	1.9889366932324952	9.913222596496274e-9	1.1835786978847066e-7	Pass	8
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_617	1130.5493818667169	6.121687474551463	1.0925929598311068	3.168989455837328e-10	4.459220877142525e-9	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_553	1117.4934979881764	2.887695501293285	0.4187805009474585	3.746313769269164e-13	7.229292399133418e-12	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_29	1104.3677926366138	2.718936528815979	0.7074661760752567	6.469060033881433e-6	5.3659150596827044e-5	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_201	1077.3059891567057	6.036450926430056	0.855267629409632	3.761433862493276e-13	7.229292399133418e-12	Pass	9
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_1047	1057.0088131546197	4.892436293724983	1.1762920915252901	1.209518272211808e-6	1.0830686346623918e-5	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_296	1023.4577916843026	3.516682184045529	0.6287001596510616	1.1958893305825955e-9	1.5972216822018395e-8	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_423	1023.3444172361524	15.189380588676968	3.758196242012531	5.456786728461851e-18	1.7199791768111755e-16	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_70	931.5483116751635	2.044238941592793	0.5866597208613975	4.296339364308328e-5	3.134736499143484e-4	Pass	7
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_409	904.9438207603606	2.981399493514198	0.5338462771096114	9.935961473494362e-10	1.3499202829506134e-8	Pass	6
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_285	825.0722704221964	0.4683667459879409	0.24689504100053214	0.024297973791983972	0.09920623496416255	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_326	811.9646504758963	6.3804128141133445	0.6933040336491014	2.0751206111273736e-23	1.4865409468803369e-21	Pass	4
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_351	789.3082576442449	1.2308876156186495	0.6514665426584363	0.010570891278708645	0.0475992133006995	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_507	702.9691535724415	5.378961083288361	0.8070687679613578	5.309975672829484e-12	8.539307816713537e-11	Pass	5
Epibolus pulchripes & 14 d & 1	Epibolus pulchripes	14 d	1	Seq_67	674.7130403307548	3.74890563340579	0.7280963586054132	1.0717333732170232e-8	1.2604864150671855e-7	Pass	8
