Species	Day	ASV	log2FoldChange	lfcSE	pvalue	padj	ASV_count	count_per_group	Significance
Epibolus pulchripes	14 d	Seq_1	-1.800033163575663	0.32903300446018957	0.9516501260603488	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_10	-1.58842950728629	0.6775905372998241	0.9728393964534972	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_1002	-0.11791261891019747	0.829424066459873	0.4197771638450263	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_1003	-2.460977785474909	1.5696990288267891	0.9855422315076809	1	6	3	Fail
Epibolus pulchripes	14 d	Seq_1004	-1.0954807449205806	2.1166687762506915	0.9950412497921516	1	5	1	Fail
Epibolus pulchripes	14 d	Seq_1006	-3.5936958599835074	1.2377910457295755	0.9996705620044618	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1014	0.6706459035331175	1.3551593807109192	0.007904875105645331	0.03685823422040545	4	2	Pass
Epibolus pulchripes	14 d	Seq_1015	1.932554976050192	0.9127011769077636	4.5830271937615887e-11	8.169744128009789e-10	5	3	Pass
Epibolus pulchripes	14 d	Seq_1016	-1.3691221535521516	1.091139050452338	Inf	Inf	5	1	Fail
Epibolus pulchripes	14 d	Seq_1019	0.16606553467861523	1.0172423204953218	0.1389060918485405	0.45607500156937464	7	3	Fail
Epibolus pulchripes	14 d	Seq_102	-6.622098607959644	1.7425259477136192	0.9999986707368858	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1021	-2.145017946691839	1.1817327773426285	0.9955963626025305	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1025	1.8902914712455987	0.968670262530713	1.5071880363025589e-6	3.414970787517114e-5	9	3	Pass
Epibolus pulchripes	14 d	Seq_1026	-0.33623940963806254	1.0286101970573127	0.5962642867607245	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1027	-15.595277012212929	3.656485247135109	1	1	4	1	Fail
Epibolus pulchripes	14 d	Seq_1028	0.32366739922087334	0.6958308149424243	0.007155657540471559	0.03356344132078327	8	3	Pass
Epibolus pulchripes	14 d	Seq_103	-3.801395812444637	0.6735640362953055	0.9999657256796437	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_1032	-2.240688261432268	2.561374069099367	Inf	Inf	1	1	Fail
Epibolus pulchripes	14 d	Seq_1033	1.1271958705596512	1.0052845141194848	7.396312374802438e-5	5.347058854444332e-4	8	3	Pass
Epibolus pulchripes	14 d	Seq_1035	-1.9899697542184838	1.0765646363142447	0.8759511808054828	1	6	3	Fail
Epibolus pulchripes	14 d	Seq_1036	-1.0206279216442977	1.2634662065128297	0.6288417803289618	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1037	3.5218869690724337	1.5961549210759487	8.514762312801413e-8	1.0224757658040888e-6	3	2	Pass
Epibolus pulchripes	14 d	Seq_1038	-0.7204014967109473	1.2629263248406155	0.9477976299323083	1	5	2	Fail
Epibolus pulchripes	14 d	Seq_104	0.6042953823994843	1.3904464380733064	0.0023216258302395008	0.012196274361524843	12	3	Pass
Epibolus pulchripes	14 d	Seq_1042	-3.2360663427716663	0.8559879127570736	0.9999949046112153	1	7	1	Fail
Epibolus pulchripes	14 d	Seq_1043	-6.864013615317787	2.324490139454565	0.8170479890840244	1	9	2	Fail
Epibolus pulchripes	14 d	Seq_1047	2.3668087443864843	1.0463095020477549	1.209518272211808e-6	1.0830686346623918e-5	8	2	Pass
Epibolus pulchripes	14 d	Seq_1049	2.8758621560738034	0.7467973321675899	2.024431442458168e-15	5.533445942718992e-14	4	3	Pass
Epibolus pulchripes	14 d	Seq_105	-3.1409241642673646	0.9025940320101989	0.9999138279382661	1	5	3	Fail
Epibolus pulchripes	14 d	Seq_1050	-2.472023103702898	1.0208415026577908	0.9990074743921811	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1052	-4.248931829596912	1.623365993655268	0.06835617676111098	0.2385194252940894	9	3	Fail
Epibolus pulchripes	14 d	Seq_1053	0.31498766585433946	1.0737627549975977	0.07615216854914615	0.5553109023200089	10	2	Fail
Epibolus pulchripes	14 d	Seq_1054	-0.3961630257111276	0.8092943733678003	0.3467895476870458	0.9488547346437225	11	3	Fail
Epibolus pulchripes	14 d	Seq_1055	-4.479181138462055	1.7275580386737466	0.01790828497090154	0.07682700444981168	10	3	Pass
Epibolus pulchripes	14 d	Seq_1056	-12.74634497471152	3.07461462778293	0.999793737492358	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1058	-0.40555628646766967	0.7138927792336875	0.7289429419140533	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1059	-1.7813760224827067	1.496033644906701	0.9902626986046792	1	1	1	Fail
Epibolus pulchripes	14 d	Seq_106	-1.2522259444184851	0.8294420923645278	1.1630155915187946e-15	3.288526844984178e-14	12	3	Pass
Epibolus pulchripes	14 d	Seq_1061	-0.25148191024302724	1.1278631881879237	0.19463501646447431	0.5639601183776288	6	3	Fail
